sigma_0.1_tau,sigma_0.1_strain,sigma_0.1_strain_rate,sigma_0.2_tau,sigma_0.2_strain,sigma_0.2_strain_rate
9.62000000e+00,1.39523113e+07,6.72559374e+07,9.62000000e+00,5.06917962e+14,2.44355743e+15
9.63000000e+00,1.46589328e+07,7.06621498e+07,9.63000000e+00,5.32591089e+14,2.56731268e+15
9.64000000e+00,1.54013415e+07,7.42408715e+07,9.64000000e+00,5.59564445e+14,2.69733558e+15
9.65000000e+00,1.61813499e+07,7.80008395e+07,9.65000000e+00,5.87903881e+14,2.83394356e+15
9.66000000e+00,1.70008623e+07,8.19512330e+07,9.66000000e+00,6.17678582e+14,2.97747012e+15
9.67000000e+00,1.78618792e+07,8.61016963e+07,9.67000000e+00,6.48961238e+14,3.12826567e+15
9.68000000e+00,1.87665028e+07,9.04623620e+07,9.68000000e+00,6.81828222e+14,3.28669833e+15
9.69000000e+00,1.97169416e+07,9.50438760e+07,9.69000000e+00,7.16359771e+14,3.45315489e+15
9.70000000e+00,2.07155158e+07,9.98574230e+07,9.70000000e+00,7.52640188e+14,3.62804174e+15
9.71000000e+00,2.17646634e+07,1.04914755e+08,9.71000000e+00,7.90758046e+14,3.81178582e+15
9.72000000e+00,2.28669456e+07,1.10228218e+08,9.72000000e+00,8.30806403e+14,4.00483572e+15
9.73000000e+00,2.40250534e+07,1.15810784e+08,9.73000000e+00,8.72883031e+14,4.20766273e+15
9.74000000e+00,2.52418142e+07,1.21676082e+08,9.74000000e+00,9.17090651e+14,4.42076202e+15
9.75000000e+00,2.65201985e+07,1.27838431e+08,9.75000000e+00,9.63537189e+14,4.64465384e+15
9.76000000e+00,2.78633273e+07,1.34312876e+08,9.76000000e+00,1.01233604e+15,4.87988477e+15
9.77000000e+00,2.92744795e+07,1.41115222e+08,9.77000000e+00,1.06360633e+15,5.12702910e+15
9.78000000e+00,3.07571003e+07,1.48262076e+08,9.78000000e+00,1.11747323e+15,5.38669019e+15
9.79000000e+00,3.23148091e+07,1.55770887e+08,9.79000000e+00,1.17406825e+15,5.65950195e+15
9.80000000e+00,3.39514090e+07,1.63659986e+08,9.80000000e+00,1.23352955e+15,5.94613040e+15
9.81000000e+00,3.56708953e+07,1.71948632e+08,9.81000000e+00,1.29600231e+15,6.24727530e+15
9.82000000e+00,3.74774659e+07,1.80657061e+08,9.82000000e+00,1.36163902e+15,6.56367185e+15
9.83000000e+00,3.93755312e+07,1.89806533e+08,9.83000000e+00,1.43059995e+15,6.89609246e+15
9.84000000e+00,4.13697251e+07,1.99419384e+08,9.84000000e+00,1.50305344e+15,7.24534869e+15
9.85000000e+00,4.34649159e+07,2.09519084e+08,9.85000000e+00,1.57917637e+15,7.61229318e+15
9.86000000e+00,4.56662188e+07,2.20130288e+08,9.86000000e+00,1.65915459e+15,7.99782178e+15
9.87000000e+00,4.79790078e+07,2.31278902e+08,9.87000000e+00,1.74318334e+15,8.40287567e+15
9.88000000e+00,5.04089293e+07,2.42992144e+08,9.88000000e+00,1.83146778e+15,8.82844373e+15
9.89000000e+00,5.29619153e+07,2.55298609e+08,9.89000000e+00,1.92422343e+15,9.27556490e+15
9.90000000e+00,5.56441988e+07,2.68228341e+08,9.90000000e+00,2.02167674e+15,9.74533076e+15
9.91000000e+00,5.84623278e+07,2.81812907e+08,9.91000000e+00,2.12406562e+15,1.02388882e+16
9.92000000e+00,6.14231825e+07,2.96085469e+08,9.92000000e+00,2.23164004e+15,1.07574420e+16
9.93000000e+00,6.45339913e+07,3.11080874e+08,9.93000000e+00,2.34466262e+15,1.13022584e+16
9.94000000e+00,6.78023485e+07,3.26835728e+08,9.94000000e+00,2.46340929e+15,1.18746672e+16
9.95000000e+00,7.12362335e+07,3.43388496e+08,9.95000000e+00,2.58816995e+15,1.24760659e+16
9.96000000e+00,7.48440294e+07,3.60779587e+08,9.96000000e+00,2.71924918e+15,1.31079229e+16
9.97000000e+00,7.86345440e+07,3.79051459e+08,9.97000000e+00,2.85696699e+15,1.37717805e+16
9.98000000e+00,8.26170311e+07,3.98248719e+08,9.98000000e+00,3.00165958e+15,1.44692596e+16
9.99000000e+00,8.68012135e+07,4.18418235e+08,9.99000000e+00,3.15368021e+15,1.52020628e+16
1.00000000e+01,9.11973060e+07,4.39609246e+08,1.00000000e+01,3.31340000e+15,1.59719793e+16
1.00100000e+01,9.58160408e+07,4.61873488e+08,1.00100000e+01,3.48120889e+15,1.67808886e+16
1.00200000e+01,1.00668694e+08,4.85265314e+08,1.00200000e+01,3.65751655e+15,1.76307655e+16
1.00300000e+01,1.05767112e+08,5.09841831e+08,1.00300000e+01,3.84275339e+15,1.85236849e+16
1.00400000e+01,1.11123743e+08,5.35663038e+08,1.00400000e+01,4.03737166e+15,1.94618267e+16
1.00500000e+01,1.16751662e+08,5.62791975e+08,1.00500000e+01,4.24184647e+15,2.04474811e+16
1.00600000e+01,1.22664611e+08,5.91294870e+08,1.00600000e+01,4.45667702e+15,2.14830546e+16
1.00700000e+01,1.28877024e+08,6.21241310e+08,1.00700000e+01,4.68238777e+15,2.25710752e+16
1.00800000e+01,1.35404068e+08,6.52704403e+08,1.00800000e+01,4.91952976e+15,2.37141991e+16
1.00900000e+01,1.42261678e+08,6.85760961e+08,1.00900000e+01,5.16868193e+15,2.49152172e+16
1.01000000e+01,1.49466595e+08,7.20491685e+08,1.01000000e+01,5.43045255e+15,2.61770615e+16
1.01100000e+01,1.57036408e+08,7.56981366e+08,1.01100000e+01,5.70548067e+15,2.75028126e+16
1.01200000e+01,1.64989599e+08,7.95319085e+08,1.01200000e+01,5.99443774e+15,2.88957070e+16
1.01300000e+01,1.73345584e+08,8.35598438e+08,1.01300000e+01,6.29802920e+15,3.03591452e+16
1.01400000e+01,1.82124761e+08,8.77917761e+08,1.01400000e+01,6.61699620e+15,3.18967001e+16
1.01500000e+01,1.91348565e+08,9.22380368e+08,1.01500000e+01,6.95211745e+15,3.35121253e+16
