sigma_0.001148105625717566_tau,sigma_0.001148105625717566_strain,sigma_0.001148105625717566_strain_rate,sigma_0.2_tau,sigma_0.2_strain,sigma_0.2_strain_rate
4.01500000e+00,1.09031284e+00,2.36862562e-02,4.01500000e+00,3.97057426e+136,2.68204204e+138
4.02000000e+00,1.09043127e+00,2.36842121e-02,4.02000000e+00,5.99548993e+136,4.04983134e+138
4.02500000e+00,1.09054968e+00,2.36821410e-02,4.02500000e+00,9.05307322e+136,6.11516658e+138
4.03000000e+00,1.09066808e+00,2.36800432e-02,4.03000000e+00,1.36699645e+137,9.23378263e+138
4.03500000e+00,1.09078647e+00,2.36779190e-02,4.03500000e+00,2.06413807e+137,1.39428322e+139
4.04000000e+00,1.09090484e+00,2.36757686e-02,4.04000000e+00,3.11680834e+137,2.10534056e+139
4.04500000e+00,1.09102321e+00,2.36735923e-02,4.04500000e+00,4.70632000e+137,3.17902331e+139
4.05000000e+00,1.09114157e+00,2.36713905e-02,4.05000000e+00,7.10645169e+137,4.80026338e+139
4.05500000e+00,1.09125992e+00,2.36691633e-02,4.05500000e+00,1.07306039e+138,7.24830437e+139
4.06000000e+00,1.09137825e+00,2.36669112e-02,4.06000000e+00,1.62030032e+138,1.09447987e+140
4.06500000e+00,1.09149657e+00,2.36646342e-02,4.06500000e+00,2.44662198e+138,1.65264332e+140
4.07000000e+00,1.09161488e+00,2.36623329e-02,4.07000000e+00,3.69435162e+138,2.49545928e+140
4.07500000e+00,1.09173318e+00,2.36600074e-02,4.07500000e+00,5.57839911e+138,3.76809499e+140
4.08000000e+00,1.09185147e+00,2.36576581e-02,4.08000000e+00,8.42327420e+138,5.68975017e+140
4.08500000e+00,1.09196975e+00,2.36552852e-02,4.08500000e+00,1.27189803e+139,8.59141212e+140
4.09000000e+00,1.09208801e+00,2.36528891e-02,4.09000000e+00,1.92054129e+139,1.29728653e+141
4.09500000e+00,1.09220627e+00,2.36504700e-02,4.09500000e+00,2.89998000e+139,1.95887743e+141
4.10000000e+00,1.09232451e+00,2.36480283e-02,4.10000000e+00,4.37891342e+139,2.95786683e+141
4.10500000e+00,1.09244273e+00,2.36455643e-02,4.10500000e+00,6.61207412e+139,4.46632141e+141
4.11000000e+00,1.09256095e+00,2.36430782e-02,4.11000000e+00,9.98410336e+139,6.74405848e+141
4.11500000e+00,1.09267915e+00,2.36405705e-02,4.11500000e+00,1.50758020e+140,1.01833972e+142
4.12000000e+00,1.09279734e+00,2.36380414e-02,4.12000000e+00,2.27641678e+140,1.53767317e+142
