# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
9.161209878820127149e-04 1.000733165424781301e+00 2.928088657905701404e-03
1.832241975764025430e-03 1.001466868381102771e+00 5.849157378575234323e-03
2.748362963646038253e-03 1.002201109263063827e+00 8.763169257021490369e-03
3.664483951528050860e-03 1.002935888465052994e+00 1.167008765122131905e-02
4.580604939410063900e-03 1.003671206381747893e+00 1.456987618185633104e-02
5.496725927292076506e-03 1.004407063408115697e+00 1.746249873205209246e-02
6.412846915174089113e-03 1.005143459939412676e+00 2.034791944711010145e-02
7.328967903056101720e-03 1.005880396371185315e+00 2.322610273424177349e-02
8.245088890938114326e-03 1.006617873099269866e+00 2.609701326229404983e-02
9.161209878820127800e-03 1.007355890519793240e+00 2.896061596147575176e-02
1.007733086670213954e-02 1.008094449029172113e+00 3.181687602307418927e-02
1.099345185458415301e-02 1.008833549024114484e+00 3.466575889917798692e-02
1.190957284246616475e-02 1.009573190901618345e+00 3.750723030238539007e-02
1.282569383034817823e-02 1.010313375058973451e+00 4.034125620552118929e-02
1.374181481823018997e-02 1.011054101893760881e+00 4.316780284134204282e-02
1.465793580611220344e-02 1.011795371803852817e+00 4.598683670223966541e-02
1.557405679399421691e-02 1.012537185187413202e+00 4.879832453994398245e-02
1.649017778187622865e-02 1.013279542442897974e+00 5.160223336522234278e-02
1.740629876975824039e-02 1.014022443969055276e+00 5.439853044757456124e-02
1.832241975764025560e-02 1.014765890164925688e+00 5.718718331492600448e-02
1.923854074552226734e-02 1.015509881429841998e+00 5.996815975331565990e-02
2.015466173340427908e-02 1.016254418163430318e+00 6.274142780658645280e-02
2.107078272128629082e-02 1.016999500765608966e+00 6.550695577606412134e-02
2.198690370916830603e-02 1.017745129636590251e+00 6.826471222024509122e-02
2.290302469705031777e-02 1.018491305176879358e+00 7.101466595446903618e-02
2.381914568493232950e-02 1.019238027787275458e+00 7.375678605059911297e-02
2.473526667281434471e-02 1.019985297868871488e+00 7.649104183669319657e-02
2.565138766069635645e-02 1.020733115823054149e+00 7.921740289667338064e-02
2.656750864857836819e-02 1.021481482051505019e+00 8.193583906999808708e-02
2.748362963646037993e-02 1.022230396956199439e+00 8.464632045132179650e-02
2.839975062434239514e-02 1.022979860939408292e+00 8.734881739016465974e-02
2.931587161222440688e-02 1.023729874403696671e+00 9.004330049056656626e-02
3.023199260010641862e-02 1.024480437751925210e+00 9.272974061075003882e-02
3.114811358798843383e-02 1.025231551387249862e+00 9.540810886277426017e-02
3.206423457587044556e-02 1.025983215713121899e+00 9.807837661218714309e-02
3.298035556375245730e-02 1.026735431133288579e+00 1.007405154776788020e-01
3.389647655163446904e-02 1.027488198051793589e+00 1.033944973307310417e-01
3.481259753951648078e-02 1.028241516872975936e+00 1.060402942952588801e-01
3.572871852739849252e-02 1.028995388001471945e+00 1.086778787472615776e-01
3.664483951528051120e-02 1.029749811842214147e+00 1.113072233144602186e-01
3.756096050316252294e-02 1.030504788800431948e+00 1.139283008759394700e-01
3.847708149104453468e-02 1.031260319281652071e+00 1.165410845617863983e-01
3.939320247892654642e-02 1.032016403691698336e+00 1.191455477527248175e-01
4.030932346680855816e-02 1.032773042436692101e+00 1.217416640797500810e-01
4.122544445469056990e-02 1.033530235923052931e+00 1.243294074237629027e-01
4.214156544257258163e-02 1.034287984557497930e+00 1.269087519151963495e-01
4.305768643045460031e-02 1.035046288747042187e+00 1.294796719336445689e-01
4.397380741833661205e-02 1.035805148898999883e+00 1.320421421074920998e-01
4.488992840621862379e-02 1.036564565420982964e+00 1.345961373135335926e-01
4.580604939410063553e-02 1.037324538720903133e+00 1.371416326766016491e-01
4.672217038198264727e-02 1.038085069206970523e+00 1.396786035691832406e-01
4.763829136986465901e-02 1.038846157287694805e+00 1.422070256110410658e-01
4.855441235774667075e-02 1.039607803371885186e+00 1.447268746688310792e-01
4.947053334562868943e-02 1.040370007868650415e+00 1.472381268557168554e-01
5.038665433351070116e-02 1.041132771187398998e+00 1.497407585309840083e-01
5.130277532139271290e-02 1.041896093737840534e+00 1.522347462996558598e-01
5.221889630927472464e-02 1.042659975929983718e+00 1.547200670120980892e-01
5.313501729715673638e-02 1.043424418174139001e+00 1.571966977636347629e-01
5.405113828503874812e-02 1.044189420880916819e+00 1.596646158941505134e-01
5.496725927292075986e-02 1.044954984461229142e+00 1.621237989877009344e-01
5.588338026080277854e-02 1.045721109326289033e+00 1.645742248721155376e-01
5.679950124868479028e-02 1.046487795887611094e+00 1.670158716186014025e-01
5.771562223656680202e-02 1.047255044557011461e+00 1.694487175413449120e-01
5.863174322444881376e-02 1.048022855746608473e+00 1.718727411971140429e-01
5.954786421233082550e-02 1.048791229868822672e+00 1.742879213848562148e-01
6.046398520021283723e-02 1.049560167336376360e+00 1.766942371452950578e-01
6.138010618809484897e-02 1.050329668562295149e+00 1.790916677605307039e-01
6.229622717597686765e-02 1.051099733959907079e+00 1.814801927536323078e-01
6.321234816385887245e-02 1.051870363942843278e+00 1.838597918882332871e-01
6.412846915174089113e-02 1.052641558925038190e+00 1.862304451681244533e-01
6.504459013962289593e-02 1.053413319320730013e+00 1.885921328368466154e-01
6.596071112750491461e-02 1.054185645544460259e+00 1.909448353772793816e-01
6.687683211538693329e-02 1.054958538011074198e+00 1.932885335112312919e-01
6.779295310326893809e-02 1.055731997135721745e+00 1.956232081990304239e-01
6.870907409115095676e-02 1.056506023333857014e+00 1.979488406391100019e-01
6.962519507903296156e-02 1.057280617021238545e+00 2.002654122675940895e-01
7.054131606691498024e-02 1.058055778613929965e+00 2.025729047578857245e-01
7.145743705479698504e-02 1.058831508528299770e+00 2.048713000202481704e-01
7.237355804267900372e-02 1.059607807181021988e+00 2.071605802013916642e-01
7.328967903056102240e-02 1.060384674989075293e+00 2.094407276840509480e-01
7.420580001844302720e-02 1.061162112369745447e+00 2.117117250865748757e-01
7.512192100632504588e-02 1.061940119740622857e+00 2.139735552624980053e-01
7.603804199420705068e-02 1.062718697519604794e+00 2.162262013001270133e-01
7.695416298208906936e-02 1.063497846124894730e+00 2.184696465221173944e-01
7.787028396997107416e-02 1.064277565975003004e+00 2.207038744850523815e-01
7.878640495785309283e-02 1.065057857488746373e+00 2.229288689790185907e-01
7.970252594573511151e-02 1.065838721085248686e+00 2.251446140271842755e-01
8.061864693361711631e-02 1.066620157183941542e+00 2.273510938853763319e-01
8.153476792149913499e-02 1.067402166204563629e+00 2.295482930416528344e-01
8.245088890938113979e-02 1.068184748567161613e+00 2.317361962158800415e-01
8.336700989726315847e-02 1.068967904692089688e+00 2.339147883593027666e-01
8.428313088514516327e-02 1.069751635000010914e+00 2.360840546541232154e-01
8.519925187302718195e-02 1.070535939911896328e+00 2.382439805130680821e-01
8.611537286090920063e-02 1.071320819849025607e+00 2.403945515789631671e-01
8.703149384879120543e-02 1.072106275232987294e+00 2.425357537243041373e-01
8.794761483667322410e-02 1.072892306485679237e+00 2.446675730508280910e-01
8.886373582455522890e-02 1.073678914029308373e+00 2.467899958890828194e-01
8.977985681243724758e-02 1.074466098286391391e+00 2.489030087979974548e-01
9.069597780031925238e-02 1.075253859679754731e+00 2.510065985644515107e-01
9.161209878820127106e-02 1.076042198632534586e+00 2.531007522028423384e-01
9.252821977608328974e-02 1.076831115568177566e+00 2.551854569546558871e-01
9.344434076396529454e-02 1.077620610910440924e+00 2.572607002880327731e-01
9.436046175184731322e-02 1.078410685083392107e+00 2.593264698973363758e-01
9.527658273972931802e-02 1.079201338511410091e+00 2.613827537027205716e-01
9.619270372761133669e-02 1.079992571619184494e+00 2.634295398496947493e-01
9.710882471549334150e-02 1.080784384831716238e+00 2.654668167086910446e-01
9.802494570337536017e-02 1.081576778574318443e+00 2.674945728746324636e-01
9.894106669125737885e-02 1.082369753272615531e+00 2.695127971664944555e-01
9.985718767913938365e-02 1.083163309352544124e+00 2.715214786268738134e-01
1.007733086670214023e-01 1.083957447240353034e+00 2.735206065215515236e-01
1.016894296549034071e-01 1.084752167362603936e+00 2.755101703390601675e-01
1.026055506427854258e-01 1.085547470146170923e+00 2.774901597902456052e-01
1.035216716306674306e-01 1.086343356018240947e+00 2.794605648078328231e-01
1.044377926185494493e-01 1.087139825406314486e+00 2.814213755459905597e-01
1.053539136064314680e-01 1.087936878738205104e+00 2.833725823798943777e-01
1.062700345943134728e-01 1.088734516442040556e+00 2.853141759052919002e-01
1.071861555821954914e-01 1.089532738946261903e+00 2.872461469380638288e-01
1.081022765700774962e-01 1.090331546679624619e+00 2.891684865137904015e-01
1.090183975579595149e-01 1.091130940071198374e+00 2.910811858873126323e-01
1.099345185458415197e-01 1.091930919550367696e+00 2.929842365322977149e-01
1.108506395337235384e-01 1.092731485546831749e+00 2.948776301408001510e-01
1.117667605216055571e-01 1.093532638490604780e+00 2.967613586228259326e-01
1.126828815094875619e-01 1.094334378812015895e+00 2.986354141058947254e-01
1.135990024973695806e-01 1.095136706941710392e+00 3.004997889346050499e-01
1.145151234852515854e-01 1.095939623310648869e+00 3.023544756701949665e-01
1.154312444731336040e-01 1.096743128350108343e+00 3.041994670901073117e-01
1.163473654610156088e-01 1.097547222491681129e+00 3.060347561875491618e-01
1.172634864488976275e-01 1.098351906167276848e+00 3.078603361710594566e-01
1.181796074367796462e-01 1.099157179809121310e+00 3.096762004640682409e-01
1.190957284246616510e-01 1.099963043849757405e+00 3.114823427044622339e-01
1.200118494125436697e-01 1.100769498722045325e+00 3.132787567441475129e-01
1.209279704004256745e-01 1.101576544859162343e+00 3.150654366486116964e-01
1.218440913883076931e-01 1.102384182694603032e+00 3.168423766964876265e-01
1.227602123761896979e-01 1.103192412662180599e+00 3.186095713791189388e-01
