# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.664483951528050860e-03 1.000733165424781301e+00 2.924061631808005154e-03
7.328967903056101720e-03 1.001466868381102771e+00 5.833101011541563970e-03
1.099345185458415301e-02 1.002201109263063827e+00 8.727136059225542794e-03
1.465793580611220344e-02 1.002935888465052994e+00 1.160618508910571216e-02
1.832241975764025560e-02 1.003671206381747893e+00 1.447026680540887573e-02
2.198690370916830603e-02 1.004407063408115697e+00 1.731940029812968629e-02
2.565138766069635645e-02 1.005143459939412676e+00 2.015360503883842358e-02
2.931587161222440688e-02 1.005880396371185315e+00 2.297290087651880641e-02
3.298035556375245730e-02 1.006617873099269866e+00 2.577730803342547991e-02
3.664483951528051120e-02 1.007355890519793240e+00 2.856684710097002339e-02
4.030932346680855816e-02 1.008094449029172113e+00 3.134153903562520577e-02
4.397380741833661205e-02 1.008833549024114484e+00 3.410140515486286689e-02
4.763829136986465901e-02 1.009573190901618345e+00 3.684646713310524291e-02
5.130277532139271290e-02 1.010313375058973451e+00 3.957674699771192295e-02
5.496725927292075986e-02 1.011054101893760881e+00 4.229226712498303231e-02
5.863174322444881376e-02 1.011795371803852817e+00 4.499305023618740962e-02
6.229622717597686765e-02 1.012537185187413202e+00 4.767911939361790807e-02
6.596071112750491461e-02 1.013279542442897974e+00 5.035049799666990039e-02
6.962519507903296156e-02 1.014022443969055276e+00 5.300720977794254329e-02
7.328967903056102240e-02 1.014765890164925688e+00 5.564927879936507060e-02
7.695416298208906936e-02 1.015509881429841998e+00 5.827672944834486751e-02
8.061864693361711631e-02 1.016254418163430318e+00 6.088958643394422332e-02
8.428313088514516327e-02 1.016999500765608966e+00 6.348787478307275911e-02
8.794761483667322410e-02 1.017745129636590251e+00 6.607161983671457073e-02
9.161209878820127106e-02 1.018491305176879358e+00 6.864084724616721644e-02
9.527658273972931802e-02 1.019238027787275458e+00 7.119558296931403907e-02
9.894106669125737885e-02 1.019985297868871488e+00 7.373585326691393937e-02
1.026055506427854258e-01 1.020733115823054149e+00 7.626168469891562995e-02
1.062700345943134728e-01 1.021481482051505019e+00 7.877310412079983892e-02
1.099345185458415197e-01 1.022230396956199439e+00 8.127013867993578000e-02
1.135990024973695806e-01 1.022979860939408292e+00 8.375281581197251135e-02
