# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.221494650509350431e-03 1.000733165424781301e+00 2.927641209107922308e-03
2.442989301018700862e-03 1.001466868381102771e+00 5.847371154534811676e-03
3.664483951528051293e-03 1.002201109263063827e+00 8.759156864738612894e-03
4.885978602037401725e-03 1.002935888465052994e+00 1.166296566504714492e-02
6.107473252546752156e-03 1.003671206381747893e+00 1.455876517706339301e-02
7.328967903056102587e-03 1.004407063408115697e+00 1.744652331806978429e-02
8.550462553565452151e-03 1.005143459939412676e+00 2.032620830042585619e-02
9.771957204074803449e-03 1.005880396371185315e+00 2.319778863096847235e-02
1.099345185458415475e-02 1.006617873099269866e+00 2.606123311040435195e-02
1.221494650509350431e-02 1.007355890519793240e+00 2.891651083270383241e-02
1.343644115560285388e-02 1.008094449029172113e+00 3.176359118448565666e-02
1.465793580611220517e-02 1.008833549024114484e+00 3.460244384440841481e-02
1.587943045662155647e-02 1.009573190901618345e+00 3.743303878254829881e-02
1.710092510713090430e-02 1.010313375058973451e+00 4.025534625978584302e-02
1.832241975764025560e-02 1.011054101893760881e+00 4.306933682718200318e-02
1.954391440814960690e-02 1.011795371803852817e+00 4.587498132535246936e-02
2.076540905865895820e-02 1.012537185187413202e+00 4.867225088384279086e-02
2.198690370916830950e-02 1.013279542442897974e+00 5.146111692050003156e-02
2.320839835967765732e-02 1.014022443969055276e+00 5.424155114084111551e-02
2.442989301018700862e-02 1.014765890164925688e+00 5.701352553741968754e-02
2.565138766069635992e-02 1.015509881429841998e+00 5.977701238918874116e-02
2.687288231120570775e-02 1.016254418163430318e+00 6.253198426086606365e-02
2.809437696171505905e-02 1.016999500765608966e+00 6.527841400228912017e-02
2.931587161222441035e-02 1.017745129636590251e+00 6.801627474777925675e-02
3.053736626273376165e-02 1.018491305176879358e+00 7.074553991549169252e-02
