# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.832241975764025430e-03 1.000733165424781301e+00 2.926746312353521121e-03
3.664483951528050860e-03 1.001466868381102771e+00 5.843800344404273886e-03
5.496725927292076506e-03 1.002201109263063827e+00 8.751138614643822269e-03
7.328967903056101720e-03 1.002935888465052994e+00 1.164873799469089491e-02
9.161209878820127800e-03 1.003671206381747893e+00 1.453657570791097933e-02
1.099345185458415301e-02 1.004407063408115697e+00 1.741462932803768474e-02
1.282569383034817823e-02 1.005143459939412676e+00 2.028287677779035819e-02
1.465793580611220344e-02 1.005880396371185315e+00 2.314129632749714616e-02
1.649017778187622865e-02 1.006617873099269866e+00 2.598986659371308600e-02
1.832241975764025560e-02 1.007355890519793240e+00 2.882856653784244064e-02
2.015466173340427908e-02 1.008094449029172113e+00 3.165737546475481251e-02
2.198690370916830603e-02 1.008833549024114484e+00 3.447627302141085398e-02
2.381914568493232950e-02 1.009573190901618345e+00 3.728523919547709065e-02
2.565138766069635645e-02 1.010313375058973451e+00 4.008425431395269689e-02
2.748362963646037993e-02 1.011054101893760881e+00 4.287329904178838191e-02
2.931587161222440688e-02 1.011795371803852817e+00 4.565235438050656291e-02
3.114811358798843383e-02 1.012537185187413202e+00 4.842140166682502161e-02
3.298035556375245730e-02 1.013279542442897974e+00 5.118042257128026934e-02
3.481259753951648078e-02 1.014022443969055276e+00 5.392939909685018351e-02
3.664483951528051120e-02 1.014765890164925688e+00 5.666831357757832338e-02
3.847708149104453468e-02 1.015509881429841998e+00 5.939714867719684405e-02
4.030932346680855816e-02 1.016254418163430318e+00 6.211588738775507962e-02
4.214156544257258163e-02 1.016999500765608966e+00 6.482451302824052131e-02
4.397380741833661205e-02 1.017745129636590251e+00 6.752300924321212594e-02
4.580604939410063553e-02 1.018491305176879358e+00 7.021136000142212674e-02
4.763829136986465901e-02 1.019238027787275458e+00 7.288954959444900183e-02
4.947053334562868943e-02 1.019985297868871488e+00 7.555756263532507899e-02
5.130277532139271290e-02 1.020733115823054149e+00 7.821538405716625675e-02
5.313501729715673638e-02 1.021481482051505019e+00 8.086299911180748479e-02
5.496725927292075986e-02 1.022230396956199439e+00 8.350039336843000093e-02
5.679950124868479028e-02 1.022979860939408292e+00 8.612755271220176589e-02
5.863174322444881376e-02 1.023729874403696671e+00 8.874446334290621297e-02
6.046398520021283723e-02 1.024480437751925210e+00 9.135111177358326562e-02
6.229622717597686765e-02 1.025231551387249862e+00 9.394748482916533139e-02
6.412846915174089113e-02 1.025983215713121899e+00 9.653356964511498883e-02
6.596071112750491461e-02 1.026735431133288579e+00 9.910935366606755947e-02
6.779295310326893809e-02 1.027488198051793589e+00 1.016748246444735132e-01
6.962519507903296156e-02 1.028241516872975936e+00 1.042299706392366687e-01
7.145743705479698504e-02 1.028995388001471945e+00 1.067747800143653836e-01
7.328967903056102240e-02 1.029749811842214147e+00 1.093092414376140020e-01
7.512192100632504588e-02 1.030504788800431948e+00 1.118333438791324769e-01
7.695416298208906936e-02 1.031260319281652071e+00 1.143470766101161301e-01
7.878640495785309283e-02 1.032016403691698336e+00 1.168504292014553303e-01
8.061864693361711631e-02 1.032773042436692101e+00 1.193433915223887226e-01
8.245088890938113979e-02 1.033530235923052931e+00 1.218259537391595260e-01
8.428313088514516327e-02 1.034287984557497930e+00 1.242981063136685688e-01
8.611537286090920063e-02 1.035046288747042187e+00 1.267598400021329452e-01
8.794761483667322410e-02 1.035805148898999883e+00 1.292111458537484325e-01
8.977985681243724758e-02 1.036564565420982964e+00 1.316520152093467733e-01
9.161209878820127106e-02 1.037324538720903133e+00 1.340824397000641433e-01
9.344434076396529454e-02 1.038085069206970523e+00 1.365024112460021533e-01
9.527658273972931802e-02 1.038846157287694805e+00 1.389119220548976907e-01
9.710882471549334150e-02 1.039607803371885186e+00 1.413109646207921510e-01
9.894106669125737885e-02 1.040370007868650415e+00 1.436995317227015567e-01
1.007733086670214023e-01 1.041132771187398998e+00 1.460776164232905350e-01
1.026055506427854258e-01 1.041896093737840534e+00 1.484452120675507913e-01
1.044377926185494493e-01 1.042659975929983718e+00 1.508023122814728112e-01
1.062700345943134728e-01 1.043424418174139001e+00 1.531489109707321328e-01
1.081022765700774962e-01 1.044189420880916819e+00 1.554850023193659891e-01
1.099345185458415197e-01 1.044954984461229142e+00 1.578105807884613576e-01
1.117667605216055571e-01 1.045721109326289033e+00 1.601256411148395398e-01
1.135990024973695806e-01 1.046487795887611094e+00 1.624301783097452379e-01
1.154312444731336040e-01 1.047255044557011461e+00 1.647241876575371577e-01
1.172634864488976275e-01 1.048022855746608473e+00 1.670076647143829418e-01
1.190957284246616510e-01 1.048791229868822672e+00 1.692806053069535188e-01
1.209279704004256745e-01 1.049560167336376360e+00 1.715430055311198687e-01
1.227602123761896979e-01 1.050329668562295149e+00 1.737948617506569204e-01
1.245924543519537353e-01 1.051099733959907079e+00 1.760361705959437861e-01
1.264246963277177449e-01 1.051870363942843278e+00 1.782669289626698239e-01
1.282569383034817823e-01 1.052641558925038190e+00 1.804871340105428379e-01
1.300891802792457919e-01 1.053413319320730013e+00 1.826967831619998595e-01
1.319214222550098292e-01 1.054185645544460259e+00 1.848958741009184559e-01
1.337536642307738666e-01 1.054958538011074198e+00 1.870844047713322578e-01
1.355859062065378762e-01 1.055731997135721745e+00 1.892623733761515104e-01
1.374181481823019135e-01 1.056506023333857014e+00 1.914297783758814042e-01
1.392503901580659231e-01 1.057280617021238545e+00 1.935866184873449303e-01
1.410826321338299605e-01 1.058055778613929965e+00 1.957328926824112025e-01
1.429148741095939701e-01 1.058831508528299770e+00 1.978686001867211164e-01
1.447471160853580074e-01 1.059607807181021988e+00 1.999937404784215278e-01
1.465793580611220448e-01 1.060384674989075293e+00 2.021083132868946586e-01
1.484116000368860544e-01 1.061162112369745447e+00 2.042123185915020733e-01
1.502438420126500918e-01 1.061940119740622857e+00 2.063057566203159443e-01
1.520760839884141014e-01 1.062718697519604794e+00 2.083886278488668309e-01
1.539083259641781387e-01 1.063497846124894730e+00 2.104609329988869071e-01
1.557405679399421483e-01 1.064277565975003004e+00 2.125226730370581574e-01
1.575728099157061857e-01 1.065057857488746373e+00 2.145738491737615439e-01
1.594050518914702230e-01 1.065838721085248686e+00 2.166144628618317802e-01
1.612372938672342326e-01 1.066620157183941542e+00 2.186445157953146867e-01
1.630695358429982700e-01 1.067402166204563629e+00 2.206640099082241846e-01
1.649017778187622796e-01 1.068184748567161613e+00 2.226729473733062292e-01
1.667340197945263169e-01 1.068967904692089688e+00 2.246713306008013555e-01
1.685662617702903265e-01 1.069751635000010914e+00 2.266591622372170489e-01
1.703985037460543639e-01 1.070535939911896328e+00 2.286364451640942597e-01
1.722307457218184013e-01 1.071320819849025607e+00 2.306031824967834931e-01
1.740629876975824109e-01 1.072106275232987294e+00 2.325593775832211496e-01
1.758952296733464482e-01 1.072892306485679237e+00 2.345050340027101110e-01
1.777274716491104578e-01 1.073678914029308373e+00 2.364401555647015762e-01
1.795597136248744952e-01 1.074466098286391391e+00 2.383647463075821427e-01
1.813919556006385048e-01 1.075253859679754731e+00 2.402788104974621086e-01
1.832241975764025421e-01 1.076042198632534586e+00 2.421823526269668292e-01
1.850564395521665795e-01 1.076831115568177566e+00 2.440753774140332621e-01
1.868886815279305891e-01 1.077620610910440924e+00 2.459578898007074577e-01
1.887209235036946264e-01 1.078410685083392107e+00 2.478298949519456562e-01
1.905531654794586360e-01 1.079201338511410091e+00 2.496913982544194666e-01
1.923854074552226734e-01 1.079992571619184494e+00 2.515424053153222372e-01
1.942176494309866830e-01 1.080784384831716238e+00 2.533829219611797856e-01
1.960498914067507203e-01 1.081576778574318443e+00 2.552129542366669002e-01
1.978821333825147577e-01 1.082369753272615531e+00 2.570325084034199570e-01
1.997143753582787673e-01 1.083163309352544124e+00 2.588415909388607217e-01
2.015466173340428047e-01 1.083957447240353034e+00 2.606402085350171816e-01
2.033788593098068143e-01 1.084752167362603936e+00 2.624283680973528710e-01
2.052111012855708516e-01 1.085547470146170923e+00 2.642060767435931989e-01
2.070433432613348612e-01 1.086343356018240947e+00 2.659733418025607143e-01
2.088755852370988986e-01 1.087139825406314486e+00 2.677301708130109814e-01
2.107078272128629359e-01 1.087936878738205104e+00 2.694765715224711200e-01
2.125400691886269455e-01 1.088734516442040556e+00 2.712125518860841744e-01
2.143723111643909829e-01 1.089532738946261903e+00 2.729381200654524275e-01
2.162045531401549925e-01 1.090331546679624619e+00 2.746532844274890417e-01
2.180367951159190298e-01 1.091130940071198374e+00 2.763580535432690333e-01
2.198690370916830394e-01 1.091930919550367696e+00 2.780524361868861871e-01
2.217012790674470768e-01 1.092731485546831749e+00 2.797364413343109701e-01
2.235335210432111142e-01 1.093532638490604780e+00 2.814100781622529412e-01
2.253657630189751238e-01 1.094334378812015895e+00 2.830733560470266030e-01
2.271980049947391611e-01 1.095136706941710392e+00 2.847262845634211392e-01
2.290302469705031707e-01 1.095939623310648869e+00 2.863688734835714844e-01
2.308624889462672081e-01 1.096743128350108343e+00 2.880011327758352779e-01
2.326947309220312177e-01 1.097547222491681129e+00 2.896230726036688741e-01
2.345269728977952550e-01 1.098351906167276848e+00 2.912347033245137329e-01
