# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.832547604116947131e-03 1.000916693709138716e+00 5.792927083109503453e-03
3.665095208233894262e-03 1.001834227745634021e+00 1.156075200336469967e-02
5.497642812350841610e-03 1.002752602879808386e+00 1.730357240687227516e-02
7.330190416467788524e-03 1.003671819882690830e+00 2.302148555462266155e-02
9.162738020584735438e-03 1.004591879526017140e+00 2.871458832409543721e-02
1.099528562470168322e-02 1.005512782582230535e+00 3.438297721085772918e-02
1.282783322881862927e-02 1.006434529824482338e+00 4.002674833015609779e-02
1.466038083293557705e-02 1.007357122026632634e+00 4.564599741850317721e-02
1.649292843705252309e-02 1.008280559963250500e+00 5.124081983525171496e-02
1.832547604116947088e-02 1.009204844409615776e+00 5.681131056417291353e-02
2.015802364528641866e-02 1.010129976141718400e+00 6.235756421501171404e-02
2.199057124940336644e-02 1.011055955936260187e+00 6.787967502505105888e-02
2.382311885352031422e-02 1.011982784570654159e+00 7.337773686065331147e-02
2.565566645763725853e-02 1.012910462823026991e+00 7.885184321881393010e-02
2.748821406175420631e-02 1.013838991472217677e+00 8.430208722868617888e-02
2.932076166587115409e-02 1.014768371297779748e+00 8.972856165311854371e-02
3.115330926998810188e-02 1.015698603079981499e+00 9.513135889017584890e-02
3.298585687410504619e-02 1.016629687599805987e+00 1.005105709746491882e-01
3.481840447822199397e-02 1.017561625638952583e+00 1.058662895795719344e-01
3.665095208233894175e-02 1.018494417979836753e+00 1.111986060177152374e-01
3.848349968645588953e-02 1.019428065405591832e+00 1.165076112430898647e-01
4.031604729057283731e-02 1.020362568700068806e+00 1.217933958524305277e-01
4.214859489468978510e-02 1.021297928647836750e+00 1.270560500866762255e-01
4.398114249880673288e-02 1.022234146034184832e+00 1.322956638324531697e-01
4.581369010292368066e-02 1.023171221645121198e+00 1.375123266235338537e-01
4.764623770704062844e-02 1.024109156267375198e+00 1.427061276423081393e-01
4.947878531115756928e-02 1.025047950688396936e+00 1.478771557212327503e-01
5.131133291527451706e-02 1.025987605696358607e+00 1.530254993442841382e-01
5.314388051939146485e-02 1.026928122080154715e+00 1.581512466483993018e-01
5.497642812350841263e-02 1.027869500629403410e+00 1.632544854249159683e-01
5.680897572762536041e-02 1.028811742134446039e+00 1.683353031209958717e-01
5.864152333174230819e-02 1.029754847386348704e+00 1.733937868410543592e-01
6.047407093585925597e-02 1.030698817176903148e+00 1.784300233481783682e-01
6.230661853997620375e-02 1.031643652298625868e+00 1.834440990655294701e-01
6.413916614409315153e-02 1.032589353544761002e+00 1.884361000777599326e-01
6.597171374821009238e-02 1.033535921709279215e+00 1.934061121324031907e-01
6.780426135232704710e-02 1.034483357586879038e+00 1.983542206412686471e-01
6.963680895644398794e-02 1.035431661972987749e+00 2.032805106818295349e-01
7.146935656056094266e-02 1.036380835663761601e+00 2.081850669986005098e-01
7.330190416467788350e-02 1.037330879456086485e+00 2.130679740045125781e-01
7.513445176879483822e-02 1.038281794147579262e+00 2.179293157822826954e-01
7.696699937291177906e-02 1.039233580536587764e+00 2.227691760857736791e-01
7.879954697702871991e-02 1.040186239422191461e+00 2.275876383413499571e-01
8.063209458114567463e-02 1.041139771604202569e+00 2.323847856492285979e-01
8.246464218526261547e-02 1.042094177883166273e+00 2.371607007848222926e-01
8.429718978937957019e-02 1.043049459060362061e+00 2.419154662000793377e-01
8.612973739349651103e-02 1.044005615937803277e+00 2.466491640248112960e-01
8.796228499761346575e-02 1.044962649318238901e+00 2.513618760680240150e-01
8.979483260173040660e-02 1.045920560005153988e+00 2.560536838192365439e-01
9.162738020584736132e-02 1.046879348802769671e+00 2.607246684497935840e-01
9.345992780996430216e-02 1.047839016516044497e+00 2.653749108141756907e-01
