# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
9.162738020584733703e-03 1.000916693709138716e+00 2.034402482505054399e-02
1.832547604116946741e-02 1.001834227745634021e+00 4.044611947417910136e-02
2.748821406175420284e-02 1.002752602879808386e+00 6.030896666889275226e-02
3.665095208233893481e-02 1.003671819882690830e+00 7.993521943997193568e-02
4.581369010292366678e-02 1.004591879526017140e+00 9.932750145723769075e-02
5.497642812350840569e-02 1.005512782582230535e+00 1.184884073556476819e-01
6.413916614409313766e-02 1.006434529824482338e+00 1.374205030577548559e-01
7.330190416467786962e-02 1.007357122026632634e+00 1.561263260925712937e-01
8.246464218526260159e-02 1.008280559963250500e+00 1.746083859108639724e-01
9.162738020584733356e-02 1.009204844409615776e+00 1.928691641969667303e-01
1.007901182264320655e-01 1.010129976141718400e+00 2.109111151770650672e-01
1.099528562470168114e-01 1.011055955936260187e+00 2.287366659240924194e-01
1.191155942676015433e-01 1.011982784570654159e+00 2.463482166591774991e-01
1.282783322881862753e-01 1.012910462823026991e+00 2.637481410497909962e-01
1.374410703087710073e-01 1.013838991472217677e+00 2.809387865044961630e-01
1.466038083293557392e-01 1.014768371297779748e+00 2.979224744644787259e-01
1.557665463499404712e-01 1.015698603079981499e+00 3.147015006917916469e-01
1.649292843705252032e-01 1.016629687599805987e+00 3.312781355543792938e-01
1.740920223911099352e-01 1.017561625638952583e+00 3.476546243079558507e-01
1.832547604116946671e-01 1.018494417979836753e+00 3.638331873747073231e-01
1.924174984322793991e-01 1.019428065405591832e+00 3.798160206189231669e-01
2.015802364528641311e-01 1.020362568700068806e+00 3.956052956195214576e-01
2.107429744734488630e-01 1.021297928647836750e+00 4.112031599395470916e-01
2.199057124940336228e-01 1.022234146034184832e+00 4.266117373926941458e-01
2.290684505146183547e-01 1.023171221645121198e+00 4.418331283068049342e-01
2.382311885352030867e-01 1.024109156267375198e+00 4.568694097844887003e-01
2.473939265557878187e-01 1.025047950688396936e+00 4.717226359607923358e-01
2.565566645763725506e-01 1.025987605696358607e+00 4.863948382580285945e-01
2.657194025969572548e-01 1.026928122080154715e+00 5.008880256377487017e-01
2.748821406175420146e-01 1.027869500629403410e+00 5.152041848499229193e-01
2.840448786381267188e-01 1.028811742134446039e+00 5.293452806793195187e-01
2.932076166587114785e-01 1.029754847386348704e+00 5.433132561891695911e-01
3.023703546792962382e-01 1.030698817176902926e+00 5.571100329621033742e-01
3.115330926998809424e-01 1.031643652298625868e+00 5.707375113383960086e-01
3.206958307204657022e-01 1.032589353544761002e+00 5.841975706515676325e-01
3.298585687410504064e-01 1.033535921709279215e+00 5.974920694613659045e-01
3.390213067616351661e-01 1.034483357586879038e+00 6.106228457841391677e-01
3.481840447822198703e-01 1.035431661972987749e+00 6.235917173206583231e-01
3.573467828028046300e-01 1.036380835663761601e+00 6.364004816813895182e-01
3.665095208233893342e-01 1.037330879456086485e+00 6.490509166092643945e-01
3.756722588439740940e-01 1.038281794147579262e+00 6.615447801999768673e-01
3.848349968645587982e-01 1.039233580536587764e+00 6.738838111198129921e-01
3.939977348851435579e-01 1.040186239422191461e+00 6.860697288210623190e-01
4.031604729057282621e-01 1.041139771604202569e+00 6.981042337550358301e-01
4.123232109263130218e-01 1.042094177883166273e+00 7.099890075827038904e-01
4.214859489468977261e-01 1.043049459060362061e+00 7.217257133830017324e-01
4.306486869674824858e-01 1.044005615937803277e+00 7.333159958587942562e-01
4.398114249880672455e-01 1.044962649318238901e+00 7.447614815405763089e-01
4.489741630086519497e-01 1.045920560005153988e+00 7.560637789878893456e-01
4.581369010292367094e-01 1.046879348802769671e+00 7.672244789884916649e-01
4.672996390498214136e-01 1.047839016516044497e+00 7.782451547553257409e-01
4.764623770704061734e-01 1.048799563950675084e+00 7.891273621212898659e-01
4.856251150909908776e-01 1.049760991913096131e+00 7.998726397318306480e-01
4.947878531115756373e-01 1.050723301210482186e+00 8.104825092354158711e-01
5.039505911321603415e-01 1.051686492650747429e+00 8.209584754718642907e-01
5.131133291527451012e-01 1.052650567042546559e+00 8.313020266585923190e-01
5.222760671733298610e-01 1.053615525195275904e+00 8.415146345747905876e-01
5.314388051939145097e-01 1.054581367919073198e+00 8.515977547435406025e-01
5.406015432144992694e-01 1.055548096024819804e+00 8.615528266119253376e-01
5.497642812350840291e-01 1.056515710324139157e+00 8.713812737291042332e-01
5.589270192556687888e-01 1.057484211629399651e+00 8.810845039224465269e-01
5.680897572762534375e-01 1.058453600753713753e+00 8.906639094716716221e-01
5.772524952968381973e-01 1.059423878510939998e+00 9.001208672810807609e-01
5.864152333174229570e-01 1.060395045715682549e+00 9.094567390498473625e-01
5.955779713380077167e-01 1.061367103183292082e+00 9.186728714404279739e-01
6.047407093585924764e-01 1.062340051729866897e+00 9.277705962451042732e-01
6.139034473791771251e-01 1.063313892172254027e+00 9.367512305506682235e-01
6.230661853997618849e-01 1.064288625328048132e+00 9.456160769012622591e-01
6.322289234203466446e-01 1.065264252015594382e+00 9.543664234594394502e-01
6.413916614409314043e-01 1.066240773053987567e+00 9.630035441654025696e-01
6.505543994615160530e-01 1.067218189263073436e+00 9.715286988944904500e-01
6.597171374821008127e-01 1.068196501463449355e+00 9.799431336129108550e-01
6.688798755026855725e-01 1.069175710476464980e+00 9.882480805317378492e-01
6.780426135232703322e-01 1.070155817124222697e+00 9.964447582591999808e-01
6.872053515438549809e-01 1.071136822229578733e+00 1.004534371951277816e+00
6.963680895644397406e-01 1.072118726616143602e+00 1.012518113460623592e+00
7.055308275850245003e-01 1.073101531108282547e+00 1.020397161483826531e+00
7.146935656056092601e-01 1.074085236531116649e+00 1.028172681707045566e+00
7.238563036261939088e-01 1.075069843710523720e+00 1.035845826950023696e+00
7.330190416467786685e-01 1.076055353473137854e+00 1.043417737308487858e+00
7.421817796673634282e-01 1.077041766646351872e+00 1.050889540294993152e+00
7.513445176879481879e-01 1.078029084058316212e+00 1.058262350978173227e+00
7.605072557085329477e-01 1.079017306537941145e+00 1.065537272120468781e+00
7.696699937291175964e-01 1.080006434914896563e+00 1.072715394314304849e+00
7.788327317497023561e-01 1.080996470019612410e+00 1.079797796116766184e+00
7.879954697702871158e-01 1.081987412683280692e+00 1.086785544182782504e+00
7.971582077908718755e-01 1.082979263737854803e+00 1.093679693396817143e+00
8.063209458114565242e-01 1.083972024016051083e+00 1.100481287003108433e+00
8.154836838320412840e-01 1.084965694351349041e+00 1.107191356734456678e+00
8.246464218526260437e-01 1.085960275577992240e+00 1.113810922939581394e+00
8.338091598732108034e-01 1.086955768530989186e+00 1.120340994709067672e+00
8.429718978937954521e-01 1.087952174046113774e+00 1.126782569999910777e+00
8.521346359143802118e-01 1.088949492959905729e+00 1.133136635758674071e+00
8.612973739349649716e-01 1.089947726109671944e+00 1.139404168043290921e+00
8.704601119555497313e-01 1.090946874333486916e+00 1.145586132143500580e+00
8.796228499761344910e-01 1.091946938470192974e+00 1.151683482699954020e+00
8.887855879967191397e-01 1.092947919359401832e+00 1.157697163821999942e+00
8.979483260173038994e-01 1.093949817841495031e+00 1.163628109204156047e+00
9.071110640378886592e-01 1.094952634757623944e+00 1.169477242241289350e+00
9.162738020584734189e-01 1.095956370949711101e+00 1.175245476142520396e+00
9.254365400790580676e-01 1.096961027260451305e+00 1.180933714043864269e+00
9.345992780996428273e-01 1.097966604533311408e+00 1.186542849119614385e+00
9.437620161202275870e-01 1.098973103612531643e+00 1.192073764692496374e+00
9.529247541408123467e-01 1.099980525343126070e+00 1.197527334342596284e+00
9.620874921613969954e-01 1.100988870570883238e+00 1.202904422015080188e+00
9.712502301819817552e-01 1.101998140142367300e+00 1.208205882126720754e+00
9.804129682025665149e-01 1.103008334904918453e+00 1.213432559671239197e+00
9.895757062231512746e-01 1.104019455706653607e+00 1.218585290323475734e+00
9.987384442437359233e-01 1.105031503396466608e+00 1.223664900542407841e+00
1.007901182264320683e+00 1.106044478824030453e+00 1.228672207673028760e+00
1.017063920284905443e+00 1.107058382839796185e+00 1.233608020047085363e+00
1.026226658305490202e+00 1.108073216294994667e+00 1.238473137082707121e+00
1.035389396326074962e+00 1.109088980041637473e+00 1.243268349382928406e+00
1.044552134346659722e+00 1.110105674932516884e+00 1.247994438833112785e+00
1.053714872367244482e+00 1.111123301821206777e+00 1.252652178697302832e+00
1.062877610387829019e+00 1.112141861562063738e+00 1.257242333713496141e+00
1.072040348408413779e+00 1.113161355010227727e+00 1.261765660187868621e+00
1.081203086428998539e+00 1.114181783021622074e+00 1.266222906087948630e+00
1.090365824449583299e+00 1.115203146452955041e+00 1.270614811134760380e+00
1.099528562470168058e+00 1.116225446161720258e+00 1.274942106893947047e+00
1.108691300490752818e+00 1.117248683006197396e+00 1.279205516865876247e+00
1.117854038511337578e+00 1.118272857845452606e+00 1.283405756574754975e+00
1.127016776531922337e+00 1.119297971539340297e+00 1.287543533656750672e+00
1.136179514552506875e+00 1.120324024948502251e+00 1.291619547947135738e+00
1.145342252573091635e+00 1.121351018934369614e+00 1.295634491566468594e+00
1.154504990593676395e+00 1.122378954359163128e+00 1.299589049005815955e+00
1.163667728614261154e+00 1.123407832085894009e+00 1.303483897211030973e+00
1.172830466634845914e+00 1.124437652978364399e+00 1.307319705666099674e+00
1.181993204655430674e+00 1.125468417901168472e+00 1.311097136475558367e+00
1.191155942676015433e+00 1.126500127719692879e+00 1.314816844446003774e+00
1.200318680696600193e+00 1.127532783300117414e+00 1.318479477166690561e+00
1.209481418717184953e+00 1.128566385509416570e+00 1.322085675089249346e+00
1.218644156737769491e+00 1.129600935215358426e+00 1.325636071606502098e+00
1.227806894758354250e+00 1.130636433286507758e+00 1.329131293130424440e+00
1.236969632778939010e+00 1.131672880592224484e+00 1.332571959169227105e+00
1.246132370799523770e+00 1.132710278002666549e+00 1.335958682403594056e+00
1.255295108820108529e+00 1.133748626388788372e+00 1.339292068762066412e+00
1.264457846840693289e+00 1.134787926622343734e+00 1.342572717495603474e+00
1.273620584861278049e+00 1.135828179575885111e+00 1.345801221251304636e+00
1.282783322881862809e+00 1.136869386122764780e+00 1.348978166145319957e+00
1.291946060902447346e+00 1.137911547137136159e+00 1.352104131834958034e+00
1.301108798923032106e+00 1.138954663493953134e+00 1.355179691589982083e+00
1.310271536943616866e+00 1.139998736068972285e+00 1.358205412363129749e+00
1.319434274964201625e+00 1.141043765738752880e+00 1.361181854859843110e+00
1.328597012984786385e+00 1.142089753380657768e+00 1.364109573607229287e+00
1.337759751005371145e+00 1.143136699872853601e+00 1.366989117022253897e+00
1.346922489025955905e+00 1.144184606094312828e+00 1.369821027479187769e+00
1.356085227046540664e+00 1.145233472924812812e+00 1.372605841376293823e+00
1.365247965067125424e+00 1.146283301244938269e+00 1.375344089201785414e+00
1.374410703087709962e+00 1.147334091936080380e+00 1.378036295599050609e+00
1.383573441108294722e+00 1.148385845880438572e+00 1.380682979431151924e+00
1.392736179128879481e+00 1.149438563961021176e+00 1.383284653844617740e+00
1.401898917149464241e+00 1.150492247061645879e+00 1.385841826332518290e+00
1.411061655170049001e+00 1.151546896066940162e+00 1.388354998796853312e+00
1.420224393190633760e+00 1.152602511862343082e+00 1.390824667610240706e+00
1.429387131211218520e+00 1.153659095334104823e+00 1.393251323676925280e+00
1.438549869231803280e+00 1.154716647369288474e+00 1.395635452493114714e+00
1.447712607252387818e+00 1.155775168855769808e+00 1.397977534206639616e+00
1.456875345272972577e+00 1.156834660682238614e+00 1.400278043675963424e+00
1.466038083293557337e+00 1.157895123738199805e+00 1.402537450528530405e+00
1.475200821314142097e+00 1.158956558913972978e+00 1.404756219218471491e+00
1.484363559334726856e+00 1.160018967100694631e+00 1.406934809083671967e+00
1.493526297355311616e+00 1.161082349190317498e+00 1.409073674402204768e+00
1.502689035375896376e+00 1.162146706075612546e+00 1.411173264448140729e+00
1.511851773396481136e+00 1.163212038650168312e+00 1.413234023546741325e+00
1.521014511417065895e+00 1.164278347808393566e+00 1.415256391129041891e+00
1.530177249437650433e+00 1.165345634445515977e+00 1.417240801785824900e+00
1.539339987458235193e+00 1.166413899457584558e+00 1.419187685321003922e+00
1.548502725478819952e+00 1.167483143741469220e+00 1.421097466804409404e+00
1.557665463499404712e+00 1.168553368194862774e+00 1.422970566623998678e+00
1.566828201519989472e+00 1.169624573716280036e+00 1.424807400537476676e+00
1.575990939540574232e+00 1.170696761205059833e+00 1.426608379723356856e+00
1.585153677561158991e+00 1.171769931561365663e+00 1.428373910831451488e+00
