# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.145342252573091713e-03 1.000916693709138716e+00 4.423285206121153022e-03
2.290684505146183426e-03 1.001834227745634021e+00 8.830974624500919842e-03
3.436026757719275355e-03 1.002752602879808386e+00 1.322311914764072276e-02
4.581369010292366852e-03 1.003671819882690830e+00 1.759976949816841052e-02
5.726711262865458348e-03 1.004591879526017140e+00 2.196097622946537042e-02
6.872053515438550711e-03 1.005512782582230535e+00 2.630678972629071563e-02
8.017395768011642207e-03 1.006434529824482338e+00 3.063726020540346803e-02
9.162738020584733703e-03 1.007357122026632634e+00 3.495243771618405243e-02
1.030808027315782520e-02 1.008280559963250500e+00 3.925237214124849272e-02
1.145342252573091670e-02 1.009204844409615776e+00 4.353711319706919658e-02
1.259876477830400819e-02 1.010129976141718400e+00 4.780671043458058211e-02
1.374410703087710142e-02 1.011055955936260187e+00 5.206121323979477633e-02
1.488944928345019292e-02 1.011982784570654159e+00 5.630067083440242620e-02
1.603479153602328441e-02 1.012910462823026991e+00 6.052513227638575688e-02
1.718013378859637591e-02 1.013838991472217677e+00 6.473464646061241612e-02
1.832547604116946741e-02 1.014768371297779748e+00 6.892926211944146175e-02
1.947081829374255890e-02 1.015698603079981499e+00 7.310902782332021066e-02
2.061616054631565040e-02 1.016629687599805987e+00 7.727399198137463454e-02
2.176150279888874189e-02 1.017561625638952583e+00 8.142420284200777014e-02
2.290684505146183339e-02 1.018494417979836753e+00 8.555970849348470963e-02
2.405218730403492489e-02 1.019428065405591832e+00 8.968055686452529318e-02
2.519752955660801638e-02 1.020362568700068806e+00 9.378679572488640703e-02
2.634287180918110788e-02 1.021297928647836750e+00 9.787847268594322692e-02
2.748821406175420284e-02 1.022234146034184832e+00 1.019556352012760125e-01
2.863355631432729434e-02 1.023171221645121198e+00 1.060183305672404708e-01
2.977889856690038584e-02 1.024109156267375198e+00 1.100666059235505673e-01
3.092424081947347733e-02 1.025047950688396936e+00 1.141005082538471549e-01
3.206958307204656883e-02 1.025987605696358607e+00 1.181200843862715844e-01
3.321492532461965685e-02 1.026928122080154715e+00 1.221253809940336804e-01
3.436026757719275182e-02 1.027869500629403410e+00 1.261164445959803149e-01
3.550560982976583985e-02 1.028811742134446039e+00 1.300933215571549173e-01
3.665095208233893481e-02 1.029754847386348704e+00 1.340560580893640497e-01
3.779629433491202978e-02 1.030698817176902926e+00 1.380047002517364174e-01
3.894163658748511780e-02 1.031643652298625868e+00 1.419392939512779950e-01
4.008697884005821277e-02 1.032589353544761002e+00 1.458598849434280809e-01
4.123232109263130080e-02 1.033535921709279215e+00 1.497665188326139096e-01
4.237766334520439576e-02 1.034483357586879038e+00 1.536592410727988800e-01
4.352300559777748379e-02 1.035431661972987749e+00 1.575380969680331977e-01
4.466834785035057875e-02 1.036380835663761601e+00 1.614031316729980792e-01
4.581369010292366678e-02 1.037330879456086485e+00 1.652543901935507042e-01
4.695903235549676175e-02 1.038281794147579262e+00 1.690919173872667824e-01
4.810437460806984977e-02 1.039233580536587764e+00 1.729157579639793163e-01
4.924971686064294474e-02 1.040186239422191461e+00 1.767259564863153387e-01
5.039505911321603276e-02 1.041139771604202569e+00 1.805225573702325670e-01
5.154040136578912773e-02 1.042094177883166273e+00 1.843056048855516160e-01
5.268574361836221576e-02 1.043049459060362061e+00 1.880751431564884057e-01
