# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.527123003430789355e-02 1.000916693709138716e+00 3.238872633006832646e-02
3.054246006861578711e-02 1.001834227745634021e+00 6.419587340017413046e-02
4.581369010292368066e-02 1.002752602879808386e+00 9.543139106424283757e-02
6.108492013723157421e-02 1.003671819882690830e+00 1.261050591678948563e-01
7.635615017153946082e-02 1.004591879526017140e+00 1.562264904568385349e-01
9.162738020584736132e-02 1.005512782582230535e+00 1.858051334354492712e-01
1.068986102401552618e-01 1.006434529824482338e+00 2.148502751763775309e-01
1.221698402744631484e-01 1.007357122026632634e+00 2.433710440820264775e-01
1.374410703087710350e-01 1.008280559963250500e+00 2.713764125987077058e-01
1.527123003430789216e-01 1.009204844409615776e+00 2.988751998843521274e-01
1.679835303773868360e-01 1.010129976141718400e+00 3.258760744304484147e-01
1.832547604116947226e-01 1.011055955936260187e+00 3.523875566391438952e-01
1.985259904460026092e-01 1.011982784570654159e+00 3.784180213561303963e-01
2.137972204803105236e-01 1.012910462823026991e+00 4.039757003602347796e-01
2.290684505146184102e-01 1.013838991472217677e+00 4.290686848102630568e-01
2.443396805489262968e-01 1.014768371297779748e+00 4.537049276500339512e-01
2.596109105832342112e-01 1.015698603079981499e+00 4.778922459721664517e-01
2.748821406175420701e-01 1.016629687599805987e+00 5.016383233413781451e-01
2.901533706518499844e-01 1.017561625638952583e+00 5.249507120780380065e-01
3.054246006861578433e-01 1.018494417979836753e+00 5.478368355025625691e-01
3.206958307204657577e-01 1.019428065405591832e+00 5.703039901414286295e-01
3.359670607547736720e-01 1.020362568700068806e+00 5.923593478953603775e-01
3.512382907890815309e-01 1.021297928647836750e+00 6.140099581704009379e-01
3.665095208233894453e-01 1.022234146034184832e+00 6.352627499725331806e-01
3.817807508576973596e-01 1.023171221645121198e+00 6.561245339663573928e-01
3.970519808920052185e-01 1.024109156267375198e+00 6.766020044985964210e-01
4.123232109263131329e-01 1.025047950688396936e+00 6.967017415868944630e-01
4.275944409606210472e-01 1.025987605696358607e+00 7.164302128745999587e-01
4.428656709949289061e-01 1.026928122080154715e+00 7.357937755520591594e-01
4.581369010292368205e-01 1.027869500629403410e+00 7.547986782450363252e-01
4.734081310635446793e-01 1.028811742134446039e+00 7.734510628707662594e-01
4.886793610978525937e-01 1.029754847386348704e+00 7.917569664622730041e-01
5.039505911321604525e-01 1.030698817176902926e+00 8.097223229614376461e-01
5.192218211664684224e-01 1.031643652298625868e+00 8.273529649813613496e-01
5.344930512007762813e-01 1.032589353544761002e+00 8.446546255385675162e-01
5.497642812350841401e-01 1.033535921709279215e+00 8.616329397555617664e-01
5.650355112693921100e-01 1.034483357586879038e+00 8.782934465342270292e-01
5.803067413036999689e-01 1.035431661972987749e+00 8.946415902005945275e-01
5.955779713380078277e-01 1.036380835663761601e+00 9.106827221214416346e-01
6.108492013723156866e-01 1.037330879456086485e+00 9.264221022932319638e-01
6.261204314066236565e-01 1.038281794147579262e+00 9.418649009038623232e-01
6.413916614409315153e-01 1.039233580536587764e+00 9.570161998676655069e-01
6.566628914752393742e-01 1.040186239422191461e+00 9.718809943341466528e-01
6.719341215095473441e-01 1.041139771604202569e+00 9.864641941709046957e-01
6.872053515438552029e-01 1.042094177883166273e+00 1.000770625421165017e+00
7.024765815781630618e-01 1.043049459060362061e+00 1.014805031736379259e+00
7.177478116124710317e-01 1.044005615937803277e+00 1.028572075784285778e+00
7.330190416467788905e-01 1.044962649318238901e+00 1.042076340632904996e+00
7.482902716810867494e-01 1.045920560005153988e+00 1.055322331110830181e+00
7.635615017153947193e-01 1.046879348802769671e+00 1.068314475144237274e+00
7.788327317497025781e-01 1.047839016516044497e+00 1.081057125071032354e+00
7.941039617840104370e-01 1.048799563950675084e+00 1.093554558932504861e+00
8.093751918183184069e-01 1.049760991913096131e+00 1.105810981742866739e+00
8.246464218526262657e-01 1.050723301210482186e+00 1.117830526737098040e+00
8.399176518869341246e-01 1.051686492650747429e+00 1.129617256597412300e+00
8.551888819212420945e-01 1.052650567042546559e+00 1.141175164658750463e+00
8.704601119555499533e-01 1.053615525195275904e+00 1.152508176093657077e+00
8.857313419898578122e-01 1.054581367919073198e+00 1.163620149076864285e+00
9.010025720241656710e-01 1.055548096024819804e+00 1.174514875929980828e+00
9.162738020584736409e-01 1.056515710324139157e+00 1.185196084246559423e+00
9.315450320927814998e-01 1.057484211629399651e+00 1.195667437997958160e+00
9.468162621270893586e-01 1.058453600753713753e+00 1.205932538620250849e+00
9.620874921613973285e-01 1.059423878510939998e+00 1.215994926082569538e+00
