# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.527123003430789312e-03 1.000916693709138716e+00 5.184313559181999605e-03
3.054246006861578624e-03 1.001834227745634021e+00 1.034798079069494670e-02
4.581369010292367719e-03 1.002752602879808386e+00 1.549107614530213263e-02
6.108492013723157248e-03 1.003671819882690830e+00 2.061367380050860981e-02
7.635615017153946776e-03 1.004591879526017140e+00 2.571584766163757113e-02
9.162738020584735438e-03 1.005512782582230535e+00 3.079767136290203697e-02
1.068986102401552583e-02 1.006434529824482338e+00 3.585921826847261740e-02
1.221698402744631450e-02 1.007357122026632634e+00 4.090056147354242944e-02
1.374410703087710316e-02 1.008280559963250500e+00 4.592177380538243342e-02
1.527123003430789355e-02 1.009204844409615776e+00 5.092292782440246274e-02
1.679835303773868221e-02 1.010129976141718400e+00 5.590409582519334508e-02
1.832547604116947088e-02 1.011055955936260187e+00 6.086534983757883183e-02
1.985259904460025954e-02 1.011982784570654159e+00 6.580676162764884096e-02
2.137972204803105167e-02 1.012910462823026991e+00 7.072840269880537045e-02
2.290684505146184033e-02 1.013838991472217677e+00 7.563034429278434057e-02
2.443396805489262899e-02 1.014768371297779748e+00 8.051265739069037031e-02
2.596109105832341765e-02 1.015698603079981499e+00 8.537541271401878629e-02
2.748821406175420631e-02 1.016629687599805987e+00 9.021868072566929797e-02
2.901533706518499844e-02 1.017561625638952583e+00 9.504253163096675061e-02
3.054246006861578711e-02 1.018494417979836753e+00 9.984703537866539136e-02
3.206958307204657577e-02 1.019428065405591832e+00 1.046322616619602408e-01
3.359670607547736443e-02 1.020362568700068806e+00 1.093982799194847394e-01
3.512382907890815309e-02 1.021297928647836750e+00 1.141451593363060207e-01
3.665095208233894175e-02 1.022234146034184832e+00 1.188729688449249311e-01
3.817807508576973041e-02 1.023171221645121198e+00 1.235817771262554404e-01
3.970519808920051907e-02 1.024109156267375198e+00 1.282716526106171817e-01
4.123232109263131467e-02 1.025047950688396936e+00 1.329426634787098382e-01
4.275944409606210334e-02 1.025987605696358607e+00 1.375948776625922076e-01
4.428656709949289200e-02 1.026928122080154715e+00 1.422283628466526895e-01
4.581369010292368066e-02 1.027869500629403410e+00 1.468431864685796895e-01
4.734081310635446932e-02 1.028811742134446039e+00 1.514394157203195479e-01
4.886793610978525798e-02 1.029754847386348704e+00 1.560171175490412121e-01
5.039505911321604664e-02 1.030698817176903148e+00 1.605763586580921110e-01
5.192218211664683530e-02 1.031643652298625868e+00 1.651172055079422329e-01
5.344930512007762397e-02 1.032589353544761002e+00 1.696397243171414437e-01
5.497642812350841263e-02 1.033535921709279215e+00 1.741439810632557927e-01
5.650355112693920129e-02 1.034483357586879038e+00 1.786300414838085104e-01
5.803067413036999689e-02 1.035431661972987749e+00 1.830979710772169811e-01
5.955779713380078555e-02 1.036380835663761601e+00 1.875478351037218605e-01
6.108492013723157421e-02 1.037330879456086485e+00 1.919796985863149175e-01
6.261204314066236287e-02 1.038281794147579262e+00 1.963936263116644876e-01
6.413916614409315153e-02 1.039233580536587764e+00 2.007896828310331283e-01
6.566628914752394020e-02 1.040186239422191461e+00 2.051679324611927757e-01
