# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
1.145342252573091843e-02 1.000916693709138716e+00 2.486941214457540766e-02
2.290684505146183686e-02 1.001834227745634021e+00 4.938629641679986859e-02
3.436026757719275182e-02 1.002752602879808386e+00 7.355535898503774705e-02
4.581369010292367372e-02 1.003671819882690830e+00 9.738124329735790841e-02
5.726711262865459562e-02 1.004591879526017140e+00 1.208685309193002766e-01
6.872053515438550364e-02 1.005512782582230535e+00 1.440217423604313596e-01
8.017395768011642554e-02 1.006434529824482338e+00 1.668453378898300532e-01
9.162738020584734744e-02 1.007357122026632634e+00 1.893437183406540270e-01
1.030808027315782693e-01 1.008280559963250500e+00 2.115212259039182807e-01
1.145342252573091912e-01 1.009204844409615776e+00 2.333821449116827151e-01
1.259876477830401131e-01 1.010129976141718400e+00 2.549307026096928608e-01
1.374410703087710073e-01 1.011055955936260187e+00 2.761710699197333363e-01
1.488944928345019292e-01 1.011982784570654159e+00 2.971073621917169616e-01
1.603479153602328511e-01 1.012910462823026991e+00 3.177436399457733152e-01
1.718013378859637730e-01 1.013838991472217677e+00 3.380839096043196657e-01
1.832547604116946949e-01 1.014768371297779748e+00 3.581321242144064887e-01
1.947081829374256168e-01 1.015698603079981499e+00 3.778921841603515852e-01
2.061616054631565387e-01 1.016629687599805987e+00 3.973679378668266149e-01
2.176150279888874606e-01 1.017561625638952583e+00 4.165631824925680182e-01
2.290684505146183825e-01 1.018494417979836753e+00 4.354816646147623982e-01
2.405218730403492766e-01 1.019428065405591832e+00 4.541270809043119749e-01
2.519752955660802263e-01 1.020362568700068806e+00 4.725030787920238007e-01
2.634287180918111204e-01 1.021297928647836750e+00 4.906132571258924879e-01
2.748821406175420146e-01 1.022234146034184832e+00 5.084611668196192813e-01
2.863355631432729642e-01 1.023171221645121198e+00 5.260503114923897883e-01
2.977889856690038584e-01 1.024109156267375198e+00 5.433841481001543405e-01
3.092424081947348080e-01 1.025047950688396936e+00 5.604660875584094315e-01
3.206958307204657022e-01 1.025987605696358607e+00 5.772994953566787935e-01
3.321492532461966518e-01 1.026928122080154715e+00 5.938876921647516793e-01
3.436026757719275460e-01 1.027869500629403410e+00 6.102339544308292840e-01
3.550560982976584956e-01 1.028811742134446039e+00 6.263415149716351493e-01
3.665095208233893898e-01 1.029754847386348704e+00 6.422135635546677435e-01
3.779629433491202839e-01 1.030698817176902926e+00 6.578532474726450641e-01
3.894163658748512336e-01 1.031643652298625868e+00 6.732636721102572830e-01
4.008697884005821277e-01 1.032589353544761002e+00 6.884479015033455607e-01
4.123232109263130774e-01 1.033535921709279215e+00 7.034089588906075052e-01
4.237766334520439715e-01 1.034483357586879038e+00 7.181498272579065478e-01
4.352300559777749211e-01 1.035431661972987749e+00 7.326734498753163516e-01
4.466834785035058153e-01 1.036380835663761601e+00 7.469827308269672006e-01
4.581369010292367649e-01 1.037330879456086485e+00 7.610805355338124967e-01
4.695903235549676591e-01 1.038281794147579262e+00 7.749696912694123974e-01
4.810437460806985532e-01 1.039233580536587764e+00 7.886529876688006535e-01
4.924971686064295029e-01 1.040186239422191461e+00 8.021331772305543284e-01
5.039505911321604525e-01 1.041139771604202569e+00 8.154129758121571037e-01
5.154040136578913467e-01 1.042094177883166273e+00 8.284950631187241177e-01
5.268574361836222408e-01 1.043049459060362061e+00 8.413820831852073523e-01
5.383108587093531350e-01 1.044005615937803277e+00 8.540766448521295295e-01
5.497642812350840291e-01 1.044962649318238901e+00 8.665813222349841860e-01
5.612177037608150343e-01 1.045920560005153988e+00 8.788986551873460007e-01
5.726711262865459284e-01 1.046879348802769671e+00 8.910311497577794171e-01
5.841245488122768226e-01 1.047839016516044497e+00 9.029812786406569147e-01
5.955779713380077167e-01 1.048799563950675084e+00 9.147514816209423305e-01
6.070313938637387219e-01 1.049760991913096131e+00 9.263441660130202759e-01
6.184848163894696160e-01 1.050723301210482186e+00 9.377617070936785648e-01
6.299382389152005102e-01 1.051686492650747429e+00 9.490064485292790675e-01
6.413916614409314043e-01 1.052650567042546559e+00 9.600807027972354524e-01
6.528450839666622985e-01 1.053615525195275904e+00 9.709867516018528821e-01
6.642985064923933036e-01 1.054581367919073198e+00 9.817268462846006072e-01
6.757519290181241978e-01 1.055548096024819804e+00 9.923032082289240385e-01
6.872053515438550919e-01 1.056515710324139157e+00 1.002718029259607846e+00
6.986587740695859861e-01 1.057484211629399651e+00 1.012973472036847067e+00
7.101121965953169912e-01 1.058453600753713753e+00 1.023071670445013348e+00
7.215656191210478854e-01 1.059423878510939998e+00 1.033014729976255541e+00
7.330190416467787795e-01 1.060395045715682549e+00 1.042804728108948531e+00
7.444724641725096737e-01 1.061367103183292082e+00 1.052443714681098097e+00
7.559258866982405678e-01 1.062340051729866897e+00 1.061933712258761098e+00
7.673793092239715730e-01 1.063313892172254027e+00 1.071276716499538262e+00
7.788327317497024671e-01 1.064288625328048132e+00 1.080474696511193322e+00
7.902861542754333612e-01 1.065264252015594382e+00 1.089529595205515511e+00
8.017395768011642554e-01 1.066240773053987567e+00 1.098443329647420752e+00
8.131929993268952606e-01 1.067218189263073436e+00 1.107217791399409235e+00
8.246464218526261547e-01 1.068196501463449355e+00 1.115854846861412675e+00
8.360998443783570488e-01 1.069175710476464980e+00 1.124356337606106537e+00
8.475532669040879430e-01 1.070155817124222697e+00 1.132724080709735848e+00
8.590066894298188371e-01 1.071136822229578733e+00 1.140959869078531641e+00
8.704601119555498423e-01 1.072118726616143602e+00 1.149065471770758906e+00
8.819135344812807364e-01 1.073101531108282547e+00 1.157042634314464413e+00
8.933669570070116306e-01 1.074085236531116649e+00 1.164893079020984379e+00
9.048203795327425247e-01 1.075069843710523720e+00 1.172618505294267255e+00
9.162738020584735299e-01 1.076055353473137854e+00 1.180220589936048947e+00
