# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.581369010292367372e-02 1.000916693709138716e+00 9.152086640114720506e-02
9.162738020584734744e-02 1.001834227745634021e+00 1.786882639968471187e-01
1.374410703087710073e-01 1.002752602879808386e+00 2.617053902238579144e-01
1.832547604116946949e-01 1.003671819882690830e+00 3.407659607582142480e-01
2.290684505146183825e-01 1.004591879526017140e+00 4.160546520088569400e-01
2.748821406175420146e-01 1.005512782582230535e+00 4.877475229585848115e-01
3.206958307204657022e-01 1.006434529824482338e+00 5.560124173163399908e-01
3.665095208233893898e-01 1.007357122026632634e+00 6.210093468998749699e-01
4.123232109263130774e-01 1.008280559963250500e+00 6.828908571249112658e-01
4.581369010292367649e-01 1.009204844409615776e+00 7.418023754361644517e-01
5.039505911321604525e-01 1.010129976141718400e+00 7.978825434762142343e-01
5.497642812350840291e-01 1.011055955936260187e+00 8.512635337516150091e-01
5.955779713380077167e-01 1.011982784570654159e+00 9.020713515195802890e-01
6.413916614409314043e-01 1.012910462823026991e+00 9.504261225854200301e-01
6.872053515438550919e-01 1.013838991472217677e+00 9.964423676679996511e-01
7.330190416467787795e-01 1.014768371297779748e+00 1.040229263960564587e+00
7.788327317497024671e-01 1.015698603079981499e+00 1.081890894484322629e+00
8.246464218526261547e-01 1.016629687599805987e+00 1.121526485804656526e+00
8.704601119555498423e-01 1.017561625638952583e+00 1.159230634653241276e+00
9.162738020584735299e-01 1.018494417979836753e+00 1.195093523973726368e+00
9.620874921613971065e-01 1.019428065405591832e+00 1.229201128884808591e+00
1.007901182264320905e+00 1.020362568700068806e+00 1.261635413031136910e+00
1.053714872367244482e+00 1.021297928647836750e+00 1.292474515770800192e+00
1.099528562470168058e+00 1.022234146034184832e+00 1.321792930627121665e+00
1.145342252573091857e+00 1.023171221645121198e+00 1.349661675412328732e+00
1.191155942676015433e+00 1.024109156267375198e+00 1.376148454412020827e+00
1.236969632778939232e+00 1.025047950688396936e+00 1.401317813000789059e+00
1.282783322881862809e+00 1.025987605696358607e+00 1.425231285042394269e+00
1.328597012984786607e+00 1.026928122080154715e+00 1.447947533411173104e+00
1.374410703087710184e+00 1.027869500629403410e+00 1.469522483955795211e+00
1.420224393190633982e+00 1.028811742134446039e+00 1.490009453211350365e+00
1.466038083293557559e+00 1.029754847386348704e+00 1.509459270151642052e+00
1.511851773396481136e+00 1.030698817176902926e+00 1.527920392259765725e+00
1.557665463499404934e+00 1.031643652298625868e+00 1.545439016182166503e+00
1.603479153602328511e+00 1.032589353544761002e+00 1.562059183218985403e+00
1.649292843705252309e+00 1.033535921709279215e+00 1.577822879891686458e+00
1.695106533808175886e+00 1.034483357586879038e+00 1.592770133817693834e+00
1.740920223911099685e+00 1.035431661972987749e+00 1.606939105111085064e+00
1.786733914014023261e+00 1.036380835663761601e+00 1.620366173518116293e+00
1.832547604116947060e+00 1.037330879456086485e+00 1.633086021486659378e+00
1.878361294219870636e+00 1.038281794147579262e+00 1.645131713359301973e+00
1.924174984322794213e+00 1.039233580536587764e+00 1.656534770871003204e+00
1.969988674425718012e+00 1.040186239422191461e+00 1.667325245123789657e+00
2.015802364528641810e+00 1.041139771604202569e+00 1.677531785202893255e+00
2.061616054631565387e+00 1.042094177883166273e+00 1.687181703591068782e+00
2.107429744734488963e+00 1.043049459060362061e+00 1.696301038530521277e+00
2.153243434837412540e+00 1.044005615937803277e+00 1.704914613474872942e+00
2.199057124940336116e+00 1.044962649318238901e+00 1.713046093767004008e+00
2.244870815043260137e+00 1.045920560005153988e+00 1.720718040672196025e+00
2.290684505146183714e+00 1.046879348802769671e+00 1.727951962890007520e+00
2.336498195249107290e+00 1.047839016516044497e+00 1.734768365662560763e+00
2.382311885352030867e+00 1.048799563950675084e+00 1.741186797591374180e+00
2.428125575454954888e+00 1.049760991913096131e+00 1.747225895269699292e+00
2.473939265557878464e+00 1.050723301210482186e+00 1.752903425832298634e+00
2.519752955660802041e+00 1.051686492650747429e+00 1.758236327519836273e+00
2.565566645763725617e+00 1.052650567042546559e+00 1.763240748350543674e+00
2.611380335866649194e+00 1.053615525195275904e+00 1.767932082987483833e+00
2.657194025969573214e+00 1.054581367919073198e+00 1.772325007885607207e+00
2.703007716072496791e+00 1.055548096024819804e+00 1.776433514798885671e+00
2.748821406175420368e+00 1.056515710324139157e+00 1.780270942724027305e+00
2.794635096278343944e+00 1.057484211629399651e+00 1.783850008353765393e+00
2.840448786381267965e+00 1.058453600753713753e+00 1.787182835109228485e+00
2.886262476484191541e+00 1.059423878510939998e+00 1.790280980817729573e+00
2.932076166587115118e+00 1.060395045715682549e+00 1.793155464099160268e+00
2.977889856690038695e+00 1.061367103183292082e+00 1.795816789521269552e+00
3.023703546792962271e+00 1.062340051729866897e+00 1.798274971581259596e+00
3.069517236895886292e+00 1.063313892172254027e+00 1.800539557568475058e+00
3.115330926998809868e+00 1.064288625328048132e+00 1.802619649360389875e+00
3.161144617101733445e+00 1.065264252015594382e+00 1.804523924201672402e+00
