# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
9.162738020584735655e-04 1.000916693709138716e+00 3.966528712676184974e-03
1.832547604116947131e-03 1.001834227745634021e+00 7.920214771643121002e-03
2.748821406175420805e-03 1.002752602879808386e+00 1.186109758228630871e-02
3.665095208233894262e-03 1.003671819882690830e+00 1.578921642608735118e-02
4.581369010292367719e-03 1.004591879526017140e+00 1.970461046106726857e-02
5.497642812350841610e-03 1.005512782582230535e+00 2.360731872222741889e-02
6.413916614409314633e-03 1.006434529824482338e+00 2.749738012198925385e-02
7.330190416467788524e-03 1.007357122026632634e+00 3.137483345063413892e-02
8.246464218526261547e-03 1.008280559963250500e+00 3.523971737673689542e-02
9.162738020584735438e-03 1.009204844409615776e+00 3.909207044760595190e-02
1.007901182264320933e-02 1.010129976141718400e+00 4.293193108971030125e-02
1.099528562470168322e-02 1.011055955936260187e+00 4.675933760911613057e-02
1.191155942676015711e-02 1.011982784570654159e+00 5.057432819191049617e-02
1.282783322881862927e-02 1.012910462823026991e+00 5.437694090463653096e-02
1.374410703087710316e-02 1.013838991472217677e+00 5.816721369471199166e-02
1.466038083293557705e-02 1.014768371297779748e+00 6.194518439085908157e-02
1.557665463499405094e-02 1.015698603079981499e+00 6.571089070352674477e-02
1.649292843705252309e-02 1.016629687599805987e+00 6.946437022530733973e-02
1.740920223911099698e-02 1.017561625638952583e+00 7.320566043136157719e-02
1.832547604116947088e-02 1.018494417979836753e+00 7.693479867983130105e-02
1.924174984322794477e-02 1.019428065405591832e+00 8.065182221226008252e-02
2.015802364528641866e-02 1.020362568700068806e+00 8.435676815400466877e-02
2.107429744734489255e-02 1.021297928647836750e+00 8.804967351464643155e-02
2.199057124940336644e-02 1.022234146034184832e+00 9.173057518840779800e-02
2.290684505146184033e-02 1.023171221645121198e+00 9.539950995455459548e-02
2.382311885352031422e-02 1.024109156267375198e+00 9.905651447781026187e-02
2.473939265557878464e-02 1.025047950688396936e+00 1.027016253087574271e-01
2.565566645763725853e-02 1.025987605696358607e+00 1.063348788842448239e-01
2.657194025969573242e-02 1.026928122080154715e+00 1.099563115277892994e-01
2.748821406175420631e-02 1.027869500629403410e+00 1.135659594499790759e-01
2.840448786381268020e-02 1.028811742134446039e+00 1.171638587488692262e-01
2.932076166587115409e-02 1.029754847386348704e+00 1.207500454103838106e-01
3.023703546792962799e-02 1.030698817176903148e+00 1.243245553087129335e-01
3.115330926998810188e-02 1.031643652298625868e+00 1.278874242067019051e-01
3.206958307204657577e-02 1.032589353544761002e+00 1.314386877562525036e-01
3.298585687410504619e-02 1.033535921709279215e+00 1.349783814987097486e-01
3.390213067616352355e-02 1.034483357586879038e+00 1.385065408652530472e-01
