# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
3.054246006861578624e-03 1.000916693709138716e+00 8.225523174508579671e-03
6.108492013723157248e-03 1.001834227745634021e+00 1.640443543080985153e-02
9.162738020584735438e-03 1.002752602879808386e+00 2.453697281026697569e-02
1.221698402744631450e-02 1.003671819882690830e+00 3.262337015422872577e-02
1.527123003430789355e-02 1.004591879526017140e+00 4.066386111029100803e-02
1.832547604116947088e-02 1.005512782582230535e+00 4.865867813852597923e-02
2.137972204803105167e-02 1.006434529824482338e+00 5.660805251767811463e-02
2.443396805489262899e-02 1.007357122026632634e+00 6.451221435132847848e-02
2.748821406175420631e-02 1.008280559963250500e+00 7.237139257401929704e-02
3.054246006861578711e-02 1.009204844409615776e+00 8.018581495736050446e-02
3.359670607547736443e-02 1.010129976141718400e+00 8.795570811608133255e-02
3.665095208233894175e-02 1.011055955936260187e+00 9.568129751407095096e-02
3.970519808920051907e-02 1.011982784570654159e+00 1.033628074703650673e-01
4.275944409606210334e-02 1.012910462823026991e+00 1.110004611651263795e-01
4.581369010292368066e-02 1.013838991472217677e+00 1.185944806455620365e-01
4.886793610978525798e-02 1.014768371297779748e+00 1.261450868318370333e-01
5.192218211664683530e-02 1.015698603079981499e+00 1.336524995229413926e-01
5.497642812350841263e-02 1.016629687599805987e+00 1.411169374025209866e-01
5.803067413036999689e-02 1.017561625638952583e+00 1.485386180446931492e-01
6.108492013723157421e-02 1.018494417979836753e+00 1.559177579198134378e-01
6.413916614409315153e-02 1.019428065405591832e+00 1.632545724002282816e-01
6.719341215095472886e-02 1.020362568700068806e+00 1.705492757659818892e-01
7.024765815781630618e-02 1.021297928647836750e+00 1.778020812104960657e-01
7.330190416467788350e-02 1.022234146034184832e+00 1.850132008462325728e-01
7.635615017153946082e-02 1.023171221645121198e+00 1.921828457103003096e-01
7.941039617840103815e-02 1.024109156267375198e+00 1.993112257700582757e-01
8.246464218526262935e-02 1.025047950688396936e+00 2.063985499286680181e-01
8.551888819212420667e-02 1.025987605696358607e+00 2.134450260306290648e-01
8.857313419898578399e-02 1.026928122080154715e+00 2.204508608672774428e-01
9.162738020584736132e-02 1.027869500629403410e+00 2.274162601822615204e-01
9.468162621270893864e-02 1.028811742134446039e+00 2.343414286769758825e-01
9.773587221957051596e-02 1.029754847386348704e+00 2.412265700159811344e-01
1.007901182264320933e-01 1.030698817176903148e+00 2.480718868323890103e-01
1.038443642332936706e-01 1.031643652298625868e+00 2.548775807332057108e-01
1.068986102401552479e-01 1.032589353544761002e+00 2.616438523046734632e-01
1.099528562470168253e-01 1.033535921709279215e+00 2.683709011175565706e-01
1.130071022538784026e-01 1.034483357586879038e+00 2.750589257324136394e-01
1.160613482607399938e-01 1.035431661972987749e+00 2.817081237048403852e-01
1.191155942676015711e-01 1.036380835663761601e+00 2.883186915906789660e-01
1.221698402744631484e-01 1.037330879456086485e+00 2.948908249512030011e-01
1.252240862813247257e-01 1.038281794147579262e+00 3.014247183582774436e-01
1.282783322881863031e-01 1.039233580536587764e+00 3.079205653994845360e-01
1.313325782950478804e-01 1.040186239422191461e+00 3.143785586832247847e-01
1.343868243019094577e-01 1.041139771604202569e+00 3.207988898437936776e-01
1.374410703087710350e-01 1.042094177883166273e+00 3.271817495464268144e-01
1.404953163156326124e-01 1.043049459060362061e+00 3.335273274923223896e-01
1.435495623224941897e-01 1.044005615937803277e+00 3.398358124236289246e-01
1.466038083293557670e-01 1.044962649318238901e+00 3.461073921284177346e-01
1.496580543362173443e-01 1.045920560005153988e+00 3.523422534456206456e-01
1.527123003430789216e-01 1.046879348802769671e+00 3.585405822699404554e-01
1.557665463499404990e-01 1.047839016516044497e+00 3.647025635567403556e-01
1.588207923568020763e-01 1.048799563950675084e+00 3.708283813269061535e-01
1.618750383636636536e-01 1.049760991913096131e+00 3.769182186716754090e-01
1.649292843705252587e-01 1.050723301210482186e+00 3.829722577574552478e-01
1.679835303773868360e-01 1.051686492650747429e+00 3.889906798305972635e-01
1.710377763842484133e-01 1.052650567042546559e+00 3.949736652221594868e-01
1.740920223911099907e-01 1.053615525195275904e+00 4.009213933526385443e-01
1.771462683979715680e-01 1.054581367919073420e+00 4.068340427366741729e-01
1.802005144048331453e-01 1.055548096024819804e+00 4.127117909877331958e-01
1.832547604116947226e-01 1.056515710324139157e+00 4.185548148227657972e-01
1.863090064185563000e-01 1.057484211629399651e+00 4.243632900668379837e-01
1.893632524254178773e-01 1.058453600753713753e+00 4.301373916577353462e-01
1.924174984322794546e-01 1.059423878510939998e+00 4.358772936505523887e-01
1.954717444391410319e-01 1.060395045715682549e+00 4.415831692222448313e-01
1.985259904460026092e-01 1.061367103183292082e+00 4.472551906761626506e-01
2.015802364528641866e-01 1.062340051729866897e+00 4.528935294465645245e-01
2.046344824597257639e-01 1.063313892172254027e+00 4.584983561031042987e-01
2.076887284665873412e-01 1.064288625328048132e+00 4.640698403552826479e-01
2.107429744734489185e-01 1.065264252015594382e+00 4.696081510568976269e-01
2.137972204803104959e-01 1.066240773053987567e+00 4.751134562104502579e-01
2.168514664871720732e-01 1.067218189263073436e+00 4.805859229715383485e-01
2.199057124940336505e-01 1.068196501463449355e+00 4.860257176532233325e-01
2.229599585008952278e-01 1.069175710476464980e+00 4.914330057303761268e-01
2.260142045077568052e-01 1.070155817124222697e+00 4.968079518439937892e-01
2.290684505146184102e-01 1.071136822229578733e+00 5.021507198055025212e-01
2.321226965214799876e-01 1.072118726616143602e+00 5.074614726010290289e-01
2.351769425283415649e-01 1.073101531108282547e+00 5.127403723956535098e-01
2.382311885352031422e-01 1.074085236531116649e+00 5.179875805376399356e-01
2.412854345420647195e-01 1.075069843710523720e+00 5.232032575626456294e-01
2.443396805489262968e-01 1.076055353473137854e+00 5.283875631978984799e-01
2.473939265557878742e-01 1.077041766646351872e+00 5.335406563663702695e-01
2.504481725626494515e-01 1.078029084058316434e+00 5.386626951909079253e-01
2.535024185695110011e-01 1.079017306537941145e+00 5.437538369983544451e-01
2.565566645763726061e-01 1.080006434914896563e+00 5.488142383236521704e-01
2.596109105832341557e-01 1.080996470019612410e+00 5.538440549139042046e-01
2.626651565900957608e-01 1.081987412683280692e+00 5.588434417324411596e-01
2.657194025969573659e-01 1.082979263737854803e+00 5.638125529628432719e-01
2.687736486038189154e-01 1.083972024016051083e+00 5.687515420129561905e-01
2.718278946106805205e-01 1.084965694351349041e+00 5.736605615188767882e-01
2.748821406175420701e-01 1.085960275577992240e+00 5.785397633489222091e-01
2.779363866244036751e-01 1.086955768530989186e+00 5.833892986075774889e-01
2.809906326312652247e-01 1.087952174046113774e+00 5.882093176394198597e-01
2.840448786381268298e-01 1.088949492959905729e+00 5.929999700330229606e-01
2.870991246449883794e-01 1.089947726109671944e+00 5.977614046248430624e-01
2.901533706518499844e-01 1.090946874333486916e+00 6.024937695030834206e-01
2.932076166587115340e-01 1.091946938470192974e+00 6.071972120115330940e-01
2.962618626655731391e-01 1.092947919359402054e+00 6.118718787533964365e-01
2.993161086724346887e-01 1.093949817841495031e+00 6.165179155950885059e-01
3.023703546792962937e-01 1.094952634757623944e+00 6.211354676700249211e-01
3.054246006861578433e-01 1.095956370949711101e+00 6.257246793823765252e-01
3.084788466930194484e-01 1.096961027260451305e+00 6.302856944108191639e-01
3.115330926998809979e-01 1.097966604533311408e+00 6.348186557122514895e-01
3.145873387067426030e-01 1.098973103612531643e+00 6.393237055255002188e-01
3.176415847136041526e-01 1.099980525343126070e+00 6.438009853750024103e-01
3.206958307204657577e-01 1.100988870570883238e+00 6.482506360744696439e-01
3.237500767273273072e-01 1.101998140142367300e+00 6.526727977305342154e-01
3.268043227341889123e-01 1.103008334904918453e+00 6.570676097463729048e-01
3.298585687410505174e-01 1.104019455706653607e+00 6.614352108253136464e-01
3.329128147479120670e-01 1.105031503396466608e+00 6.657757389744196619e-01
3.359670607547736720e-01 1.106044478824030453e+00 6.700893315080650448e-01
3.390213067616352216e-01 1.107058382839796185e+00 6.743761250514750394e-01
3.420755527684968267e-01 1.108073216294994667e+00 6.786362555442622124e-01
3.451297987753583763e-01 1.109088980041637473e+00 6.828698582439390874e-01
3.481840447822199813e-01 1.110105674932516884e+00 6.870770677294070206e-01
3.512382907890815309e-01 1.111123301821206777e+00 6.912580179044343076e-01
3.542925367959431360e-01 1.112141861562063960e+00 6.954128420011125300e-01
3.573467828028046855e-01 1.113161355010227727e+00 6.995416725832924731e-01
3.604010288096662906e-01 1.114181783021622074e+00 7.036446415500094975e-01
3.634552748165278402e-01 1.115203146452955041e+00 7.077218801388795999e-01
