# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
2.290684505146183686e-02 1.000916693709138716e+00 4.734150617978256231e-02
4.581369010292367372e-02 1.001834227745634021e+00 9.347793526922357210e-02
6.872053515438550364e-02 1.002752602879808386e+00 1.384389134075162398e-01
9.162738020584734744e-02 1.003671819882690830e+00 1.822533389443452834e-01
1.145342252573091912e-01 1.004591879526017140e+00 2.249494003276304999e-01
1.374410703087710073e-01 1.005512782582230535e+00 2.665545935513877751e-01
1.603479153602328511e-01 1.006434529824482338e+00 3.070957391745110510e-01
1.832547604116946949e-01 1.007357122026632634e+00 3.465989989210357392e-01
2.061616054631565387e-01 1.008280559963250500e+00 3.850898918721588071e-01
2.290684505146183825e-01 1.009204844409615776e+00 4.225933102601484581e-01
2.519752955660802263e-01 1.010129976141718400e+00 4.591335348737711763e-01
2.748821406175420146e-01 1.011055955936260187e+00 4.947342500849960523e-01
2.977889856690038584e-01 1.011982784570654159e+00 5.294185585061000898e-01
3.206958307204657022e-01 1.012910462823026991e+00 5.632089952864816063e-01
3.436026757719275460e-01 1.013838991472217677e+00 5.961275420577898387e-01
3.665095208233893898e-01 1.014768371297779748e+00 6.281956405362887352e-01
3.894163658748512336e-01 1.015698603079981499e+00 6.594342057906935617e-01
4.123232109263130774e-01 1.016629687599805987e+00 6.898636391837698056e-01
4.352300559777749211e-01 1.017561625638952583e+00 7.195038409957844605e-01
4.581369010292367649e-01 1.018494417979836753e+00 7.483742227375222988e-01
4.810437460806985532e-01 1.019428065405591832e+00 7.764937191606287037e-01
5.039505911321604525e-01 1.020362568700068806e+00 8.038807999725987585e-01
5.268574361836222408e-01 1.021297928647836750e+00 8.305534812637624942e-01
5.497642812350840291e-01 1.022234146034184832e+00 8.565293366533756059e-01
5.726711262865459284e-01 1.023171221645121198e+00 8.818255081615876678e-01
5.955779713380077167e-01 1.024109156267375198e+00 9.064587168142209661e-01
6.184848163894696160e-01 1.025047950688396936e+00 9.304452729867622729e-01
6.413916614409314043e-01 1.025987605696358607e+00 9.538010864940992262e-01
6.642985064923933036e-01 1.026928122080154715e+00 9.765416764321879217e-01
6.872053515438550919e-01 1.027869500629403410e+00 9.986821807778032412e-01
7.101121965953169912e-01 1.028811742134446039e+00 1.020237365752256098e+00
7.330190416467787795e-01 1.029754847386348704e+00 1.041221634954970998e+00
7.559258866982405678e-01 1.030698817176902926e+00 1.061649038272518775e+00
7.788327317497024671e-01 1.031643652298625868e+00 1.081533280568637290e+00
8.017395768011642554e-01 1.032589353544761002e+00 1.100887730160645228e+00
