# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
4.581369010292366852e-03 1.000916693709138716e+00 1.126209203256113393e-02
9.162738020584733703e-03 1.001834227745634021e+00 2.244242038011159263e-02
1.374410703087710142e-02 1.002752602879808386e+00 3.354152163006637877e-02
1.832547604116946741e-02 1.003671819882690830e+00 4.455992885006281740e-02
2.290684505146183339e-02 1.004591879526017140e+00 5.549817161135584681e-02
2.748821406175420284e-02 1.005512782582230535e+00 6.635677601205816623e-02
3.206958307204656883e-02 1.006434529824482338e+00 7.713626470022336146e-02
3.665095208233893481e-02 1.007357122026632634e+00 8.783715689677504268e-02
4.123232109263130080e-02 1.008280559963250500e+00 9.845996841827306389e-02
4.581369010292366678e-02 1.009204844409615776e+00 1.090052116995454123e-01
5.039505911321603276e-02 1.010129976141718400e+00 1.194733958161378479e-01
5.497642812350840569e-02 1.011055955936260187e+00 1.298650265066410570e-01
5.955779713380077167e-02 1.011982784570654159e+00 1.401806061948379367e-01
6.413916614409313766e-02 1.012910462823026991e+00 1.504206340117365259e-01
6.872053515438550364e-02 1.013838991472217677e+00 1.605856058174127687e-01
7.330190416467786962e-02 1.014768371297779748e+00 1.706760142227431443e-01
7.788327317497023561e-02 1.015698603079981499e+00 1.806923486109710819e-01
8.246464218526260159e-02 1.016629687599805987e+00 1.906350951591223308e-01
8.704601119555496758e-02 1.017561625638952583e+00 2.005047368592956514e-01
9.162738020584733356e-02 1.018494417979836753e+00 2.103017535397881110e-01
9.620874921613969954e-02 1.019428065405591832e+00 2.200266218860998102e-01
1.007901182264320655e-01 1.020362568700068806e+00 2.296798154617769594e-01
1.053714872367244315e-01 1.021297928647836750e+00 2.392618047291191485e-01
1.099528562470168114e-01 1.022234146034184832e+00 2.487730570697647969e-01
1.145342252573091774e-01 1.023171221645121198e+00 2.582140368051043522e-01
1.191155942676015433e-01 1.024109156267375198e+00 2.675852052165910155e-01
1.236969632778939093e-01 1.025047950688396936e+00 2.768870205658863770e-01
1.282783322881862753e-01 1.025987605696358607e+00 2.861199381148884502e-01
1.328597012984786274e-01 1.026928122080154715e+00 2.952844101456142401e-01
1.374410703087710073e-01 1.027869500629403410e+00 3.043808859799574940e-01
1.420224393190633594e-01 1.028811742134446039e+00 3.134098119992980713e-01
1.466038083293557392e-01 1.029754847386348704e+00 3.223716316639965163e-01
1.511851773396481191e-01 1.030698817176902926e+00 3.312667855327506850e-01
